Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,CAF Population,CAF Subtype,AEU,# Enforcement Actions within 5 years,# Violations within 5 years,Unnamed: 29
Livermore City,"101 West Jack London Boulevard, Livermore, CA 94551",City of Livermore Water Reclamation Plant,"101 West Jack London Boulevard, Livermore, CA 94551",37.69,-121.809,Wastewater Treatment Facility,4952,Alameda,2,"NPDMUNILRG, NPDMUNIOTH",Active,NPDES Permit,R2-2022-0025,2 019025001,CA0038008,07/13/2022,09/01/2022,,2027-08-31,8.5,"Major, Minor",A,2.0,,,,0.0,0.0,
Oro Loma Sanitary District,"2600 Grant Avenue, San Lorenzo, CA 94580",Oro Loma/Castro Valley SD WPCP,"2600 Grant Avenue, San Lorenzo, CA 94580",37.669626,-122.157253,Wastewater Treatment Facility,4952,Alameda,2,NPDMUNILRG,Active,NPDES Permit,R2-2024-0006,2 019032001,CA0037559,05/08/2024,06/01/2024,,2029-05-31,20.0,"Major, Minor",B,3.0,,,,1.0,7.0,
Dublin San Ramon Services District (WWTP NPDES & SSO),"7399 Johnson Drive, Pleasanton, CA 94588",Dublin San Ramon SD WWTP,"7399 Johnson Drive, Pleasanton, CA 94588",37.68709,-121.91506,Wastewater Treatment Facility,4952,Alameda,2,"NPDMUNILRG, NPDMUNIOTH",Active,NPDES Permit,R2-2022-0024,2 019033001,CA0037613,07/13/2022,09/01/2022,,2027-08-31,20.2,"Major, Minor",A,2.0,,,,0.0,0.0,
San Leandro City,"14200 Chapman Road, San Leandro, CA 94578",San Leandro WPCP,"3000 Davis Street, San Leandro, CA 94577",37.714649,-122.192812,Wastewater Treatment Facility,4952,Alameda,2,NPDMUNILRG,Active,Co-Permitee,R2-2022-0023,2 019037001,,07/13/2022,09/01/2022,,2027-08-31,,Major,A,1.0,,,,0.0,0.0,
Union Sanitary District,"5072 Benson Road, Union City, CA 94587-2508",Raymond A. Boege Alvarado WWTP (Union SD),"5072 Benson Road, Union City, CA 94587",37.59323,-122.0901,Wastewater Treatment Facility,4952,Alameda,2,"NPDMUNILRG, NPDMUNIOTH",Active,Co-Permitee,R2-2022-0023,2 019060001,,07/13/2022,09/01/2022,,2027-08-31,,"Major, Minor",A,1.0,,,,0.0,0.0,
US Dept of Veterans Affair (PAHCS),"4951 Arroyo Road, Livermore, CA 94550","V.A. Med Center, Livermore-WWTP","4951 Arroyo Road, Livermore, CA 94550",37.625965,-121.756446,Wastewater Treatment Facility,4952(+),Alameda,2,WDRMUNILRG,Active,WDR,89-125,2 019062001,,07/19/1989,07/19/1989,,2004-11-16,0.5,,B,2.0,,,,0.0,0.0,
East Bay Dischargers Authority,"2651 Grant Avenue, San Lorenzo, CA 94580",EBDA Common Outfall,"14150 Monarch Bay Drive, San Leandro, CA 94577",,,Wastewater Treatment Facility,4952,Alameda,2,NPDMUNILRG,Active,NPDES Permit,R2-2022-0023,2 019123001,CA0037869,07/13/2022,09/01/2022,,2027-08-31,107.8,Major,A,1.0,,,,0.0,5.0,
San Leandro City,"3000 Davis St, San Leandro, CA 94577","San Leandro, City of","3000 Davis Street, San Leandro, CA 94577",37.7134,-122.2005,Wastewater Treatment Facility,,Alameda,2,NPDMUNIOTH,Active,NPDES Permit,R2-2022-0006,2 01NPI441309,CA0038881,02/09/2022,06/01/2022,,2027-05-31,0.95,Minor,B,3.0,,,,0.0,0.0,
Central Contra Costa Sanitary District,"5019 Imhoff Place, Martinez, CA 94553-4392",Central Contra Costa SD WWTP,"5019 Imhoff, Martinez, CA 94553",38.000327,-122.068798,Wastewater Treatment Facility,4952,Contra Costa,2,NPDMUNILRG,Active,NPDES Permit,R2-2022-0020,2 071008001,CA0037648,06/08/2022,08/01/2022,,2027-07-31,53.8,Major,B,1.0,,,,0.0,0.0,
Delta Diablo,"2500 Pittsburg Antioch Highway, Antioch, CA 94509",Delta Diablo WWTP,"2500 Antioch-Pittsburg Highway, Antioch, CA 94509",38.01558,-121.8419,Wastewater Treatment Facility,4952,Contra Costa,2,"NPDMUNILRG, REC",Active,Enrollee - WRR,2016-0068-DDW,2 071013002,,,06/24/2022,,2032-08-05,12.8,"Major, Minor",,,,,,0.0,8.0,
