Unit Process,Facility/Project Name,CWNS Number,Treatment Type,Present,Projected,Change Type,Back Up,Planned Year,Additional Notes,Last Updated Date,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
"Activated Sludge, Anaerobic/Anoxic",NORWICH WPCF,09001040001,Advanced,N,Y,New,N,,,02/24/2009,CT0100412,Individual Permit,"NORWICH, CITY OF",New London,Thames,01100003,2nd Congressional District,CT,1,MAP
"Activated Sludge, Anaerobic/Anoxic",STRATFORD WPCF,09001380001,Advanced,Y,Y,No Change,N,,,02/02/2009,CT0101036,Individual Permit,"STRATFORD, TOWN OF",Fairfield,Long Island Sound,01100007,3rd Congressional District,CT,1,MAP
"Activated Sludge, Anaerobic/Anoxic",WATERBURY WPCF,09001510001,Advanced,Y,Y,No Change,N,,,02/17/2009,CT0100625,Individual Permit,City of WATERBURY WPCA,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
"Activated Sludge, Anaerobic/Anoxic",Upper Blackstone Abatement District,25000025001,Advanced,Y,Y,Increase Level Of Treatment,N,2014,,03/05/2009,MA0102369,Individual Permit,Upper Blackstone Water Pollution Abatement Distric,Worcester,Blackstone,01090003,2nd Congressional District,MA,1,MAP
"Activated Sludge, Anaerobic/Anoxic",NCSD #2 - Bay Park STP,36001010001,Advanced,Y,Y,No Change,N,,,12/16/2008,NY0026450,Individual Permit,Nassau County,Nassau,Southern Long Island,02030202,4th Congressional District,NY,2,MAP
"Activated Sludge, Anaerobic/Anoxic",New York (C) - Wards Island WPCP,36002001001,Advanced,Y,Y,"Process Improvement, Instrumentation/Electrical/Laboratory",N,,,06/11/2008,NY0026131,Individual Permit,NYCDEP,New York,Northern Long Island,02030201,12th Congressional District,NY,2,MAP
"Activated Sludge, Anaerobic/Anoxic",New York (C) - Hunts Point WPCP,36002001002,Advanced,Y,Y,"Process Improvement, Instrumentation/Electrical/Laboratory",N,,,06/11/2008,NY0026191,Individual Permit,NYCDEP,Bronx,Northern Long Island,02030201,15th Congressional District,NY,2,MAP
"Activated Sludge, Anaerobic/Anoxic",New York (C) - Bowery Bay WPCP,36002001003,Advanced,Y,Y,"Process Improvement, Instrumentation/Electrical/Laboratory",N,,,06/11/2008,NY0026158,Individual Permit,NYCDEP,Queens,Northern Long Island,02030201,14th Congressional District,NY,2,MAP
"Activated Sludge, Anaerobic/Anoxic",New York (C) - Tallman Island WPCP,36002001004,Advanced,Y,Y,"Process Improvement, Instrumentation/Electrical/Laboratory",N,,,06/11/2008,NY0026239,Individual Permit,NYCDEP,Queens,Northern Long Island,02030201,14th Congressional District,NY,2,MAP
"Activated Sludge, Anaerobic/Anoxic",New York (C) - Jamaica WPCP,36002001005,Advanced,Y,Y,"Process Improvement, Instrumentation/Electrical/Laboratory",N,,,06/11/2008,NY0026115,Individual Permit,NYCDEP,Queens,Southern Long Island,02030202,5th Congressional District,NY,2,MAP
"Activated Sludge, Anaerobic/Anoxic",Caldwell Borough CS/STP,34001156001,Advanced,Y,Y,"Rehabilitation, Replacement, Expansion",N,,,01/25/2009,NJ0020427,Individual Permit,Caldwell Borough,Essex,Hackensack-Passaic,02030103,11th Congressional District,NJ,2,MAP
"Activated Sludge, Anaerobic/Anoxic",SOD RUN WWTP,24000013001,Advanced,Y,Y,Increase Level Of Treatment,N,,,11/06/2008,MD0056545,Individual Permit,HARFORD COUNTY DPW,Harford,Gunpowder-Patapsco,02060003,2nd Congressional District,MD,3,MAP
"Activated Sludge, Anaerobic/Anoxic",New York (C) - 26th. Ward WPCP,36002001006,Advanced,Y,Y,"Process Improvement, Instrumentation/Electrical/Laboratory",N,,,06/11/2008,NY0026212,Individual Permit,NYCDEP,Kings,Southern Long Island,02030202,8th Congressional District,NY,2,MAP
"Activated Sludge, Anaerobic/Anoxic",Schenectady (C) Sewers & STP,36004050001,Advanced,Y,Y,No Change,N,,,08/22/2008,NY0020516,Individual Permit,"SCHENECTADY, CITY OF",Schenectady,Mohawk,02020004,20th Congressional District,NY,2,MAP
"Activated Sludge, Anaerobic/Anoxic",HENRICO REGIONAL WWTP,51000154002,Advanced,Y,Y,No Change,N,,,09/29/2008,VA0063690,Individual Permit,HENRICO CO,Henrico,Middle James-Willis,02080205,3rd Congressional District,VA,3,MAP
"Activated Sludge, Anaerobic/Anoxic",RICHMOND WWTP,51000161001,Advanced,Y,Y,"Increase Capacity, Increase Level Of Treatment, Process Improvement, Instrumentation/Electrical/Laboratory",N,,,04/20/2009,VA0063177,Individual Permit,"RICHMOND, CITY OF",Richmond City,Lower James,02080206,3rd Congressional District,VA,3,MAP
"Activated Sludge, Anaerobic/Anoxic",WAYNESBORO STP,51000279001,Advanced,N,Y,New,N,2010,,04/30/2008,VA0025151,Individual Permit,"WAYNESBORO, CITY OF",Waynesboro,South Fork Shenandoah,02070005,6th Congressional District,VA,3,MAP
