WDID,Facility_Name,NPDES_No,CWNS_ID,CWNS_Facility_Name
5D150118002,Stallion Springs WWTF,CAC439983,06005783001,Stallion Springs CSD WWTF
5D540132001,Cutler-Orosi WWTF,CA0081485,06005226001,Cutler-Orosi WWTF
7A130102041,Calipatria City WWTP,CA0105015,06007007001,CALIPATRIA WWTF
7A130104011,Heber PUD WWTP,CA0104370,06007011001,HEBER WWTF
7A130105011,Holtville City WWTP,CA0104361,06007013001,HOLTVILLE WWTF
7A130111013,Seeley CWD WWTP,CA0105023,06007018001,SEELEY CWD WWTF
7A130112012,Westmorland City WWTP,CA0105007,06007019001,WESTMORLAND WWTF
7A130703011,US Navy Naval Air Facility WWTP,CA0104906,,
7A131001011,Country Life MHPRV Asset Partners LP WWTP,CA0104264,,
7A131057011,Date Gardens MHP WWTP,CA0104841,,
7A330105091,Coachella Valley WD WWTP,CA0104973,,
8 300110002,OCSD Plant 1,CA0110604,06008022001,OCSD WRP No. 1
8 300110002,OCSD Plant 2,CA0110604,06008022002,OCSD WWTP No. 2
8 302006002,Los Alisos WD WWTP,CA8000326,06009076001,Irvine Ranch Water District (Los Alisos WRP)
8 330101001,Beaumont WWTP No. 1,CA0105376,06008012001,BEAUMONT WWTF
8 332303001,Temescal Creek Outfall,CA8000188,06008085001,Temecula Valley Regional WRF
8 360105001,Colton WRF,CA0105236,06008024001,COLTON WWTF
8 362918001,IEUA Carbon Canyon WWRF,CA8000409,06008010006,IEUA Carbon Canyon WRF
8 362918001,IEUA Regional Plant No. 1,CA8000409,06008010001,IEUA Regional Plant No.1
8 362918001,IEUA Regional Plant No. 2,CA8000409,,
8 362918001,IEUA Regional Plant No. 4,CA8000409,,
8 362918001,IEUA Regional Plant No. 5,CA8000409,06008010005,IEUA Regional Plant No.5
9 000000030,Carlsbad WRF,CA0107395,35200900001,"Carlsbad, City of "
9 000000030,Encina Ocean Outfall,CA0107395,06009011001,Encina WPCF
9 000000117,El Toro WD WRP,CA0107611,06008100001,El Toro Water District (Water Reclamation Plant)
9 000000117,IRWD Los Alisos WRP,CA0107611,06009076001,Los Alisos WRP
9 000000117,Irvine Desalter Project Shallow GW Unit,CA0107611,,
