Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,# Enforcement Actions within 5 years,# Violations within 5 years
3400 Hillview Group,"2550 North First Street Ste. 200, San Jose, CA 95131","3400 Hillview Avenue, Palo Alto","3400 Hillview Avenue, Palo Alto, CA 94304",,,Groundwater Cleanup Site,,Santa Clara,2,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R2-2017-0048,2 438361002,CAG912002,,08/25/2014,,09/01/2022,,Minor,B,2,1,4
"35 State Street Hotel Partners, LLC","1999 Avenue Of The Stars 2850, Los Angeles, CA 90067",110 State Street - Ritz Carlton Site (Former Chess Motors),"110 State Street, Santa Barbara, CA 93101",34.413227,-119.690535,Groundwater Cleanup Site,,Santa Barbara,3,NPDNONMUNIPRCS,Historical,Enrollee,R3-2011-0222,3 420405198,CAG993002,12/01/2006,12/01/2006,05/04/2016,12/01/2016,,Minor,C,3,0,0
350 Ocean LLC,"5710 Lbj Parkway 328, Dallas, TX 75240",Ocean Villas,"388 Ocean, Long Beach, CA 90802",33.766605,-118.187676,Other,1542,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-045,4B196000618,CAG994001,,08/08/2002,03/17/2004,,1.73,,C,3,0,0
"355 Glendale Blvd, LLC","11601 Wilshire Boulevard 2060, Los Angeles, CA 90025",Inspire Echo Park,"355 Glendale Boulevard, Los Angeles, CA 90026",34.06715,-118.26091,"Residence, NEC",,Los Angeles,4,NPDMUNIOTH,Historical,Enrollee - NPDES,R4-2018-0125,4B198903083,CAG994004,,02/24/2021,02/13/2025,11/13/2023,.288,Minor,,,0,0
360 Destination Group,"2650 North Camino Del Rio 305, San Diego, CA 92108","360 Destination Group, Fireworks Event Location","San Diego, CA 92101",32.71377,-117.17677,Outdoor Event Venue,,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R9-2011-0022,9 000003090,CAG999002,,08/31/2016,05/31/2023,09/01/2021,,Minor,,3,0,0
"360 North Crescent, LLC","360 North Crescent Drive South Bldg, Beverly Hills, CA 90210",Parking Structure,"375 North Crescent Drive, Beverly Hills, CA 90210",34.077778,-118.406111,"Service/Commercial Site, NEC",7521,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2008-0032,4B197500105,CAG994004,,02/24/2006,02/06/2015,06/05/2013,.005,Minor,,,0,0
"3800 West Sixth Street, LLC","3699 Wilshire Boulevard 720, Los Angeles, CA 90010",3800 West Sixth Street LLC,"3800 West 6th Street, Los Angeles, CA 90020",34.06342,-118.30567,"Service/Commercial Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903024,CAG994004,,08/21/2019,07/27/2022,11/13/2023,.216,Minor,,,0,1
381 Stockton LLC,"381-A Stockton Avenue, San Jose, CA 95126",395 Stockton - SJ,"395 Stockton, San Jose, CA",37.31667,-121.88528,Other,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2006-0075,2 438578001,CAG912002,,11/14/2001,01/09/2009,09/19/2006,.0144,Minor,B,2,0,0
385 Sherman Holdings LLC,"6272 Virgo Road, Oakland, CA 94301","385 Sherman Holdings, LLC","385 Sherman Avenue, Palo Alto, CA 94301",,,Groundwater Cleanup Site,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2012-0012,2438703001,CAG912002,,05/07/2015,09/01/2016,03/15/2017,,Minor,B,,0,0
3M Company EHS Operations,"Po Box 33331, Saint Paul, MN 55133-3331",3M Drug Delivery Systems,"19901 Nordhoff Street, Northridge, CA 91328",34.233409,-118.567783,Manufacturing NEC,2834,Los Angeles,4,"NPDNONMUNIPRCS, WDRNONMUNIPRCS",Active,Enrollee - WDR,R4-2002-0030,4B197200034,,,09/19/2003,,,,Minor,A,3,0,0
"3rd Claremont Owner, LLC","530 Emerson Street 150, Palo Alto, CA 94301",3rd and Claremont,"Third Avenue and Claremont Street, San Mateo, CA 94401",37.56941,-122.31684,Domestic Site NEC,,San Mateo,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_41NPG437204,,,02/24/2020,04/30/2021,12/31/2023,200,Minor,,,0,1
"400 S. San Vicente, LLC c/o The Abraham Companies","4343 Macarthur Boulevard Suite 1085, Newport Beach, CA 92660",Beverly Plaza,"400 South San Vicente Boulevard, Santa Monica, CA 90402",34.02924,-118.51082,"Development Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2023-0429,4B198906011,CAG994004,,07/22/2024,,03/21/2029,.432,Minor,A,1,0,0
407 North Maple LP c/o Tishman Speyer Properties,"345 North Maple Drive 201, Beverly Hills, CA 90210",407 North Maple Drive,"407 North Maple Drive, Beverly Hills, CA 90210",34.075885,-118.393513,"Service/Commercial Site, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2018-0125,4B196000544,CAG994004,,08/09/2000,,11/13/2023,.4,Minor,C,3,1,36
4100 Del Rey LLC,"4100 Del Rey, Marina Del Rey, CA 90292",Tribeca Urban,"4108 Del Rey Avenue, Marina Del Rey, CA 90292",33.98833,-118.44494,"Development Site, NEC",1522,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2008-0032,4B198900144,CAG994004,,01/02/2013,02/07/2014,06/05/2013,0.288,Minor,,,0,0
"4110 West 3rd Street, LLC","8871 Research Drive, Irvine, CA 92618",Hampton Inn & Suites- Koreatown,"4100 West 3rd Street, Los Angeles, CA 90020",34.069,-118.30293,"Service/Commercial Site, NEC",7011,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2013-0095,4B198901070,CAG994004,,11/16/2015,,07/06/2018,.144,Minor,,,0,0
"4201 Wilshire, LLC","4201 Wilshire Boulevard 350, Los Angeles, CA 90010",Harbor Associates,"4201 Wilshire Boulevard, Los Angeles, CA 90010",34.061744,-118.319247,"Service/Commercial Site, NEC",6512,Los Angeles,4,NPDESWW,Historical,NPDES Permit,97-097,4B191083001,CA0054861,07/21/1997,07/21/1997,04/07/2005,06/10/2002,.005,Minor,C,3,0,0
"433 Vermont, L.P.","11150 West Olympic Boulevard 620, Los Angeles, CA 90064",Vermont Corridor Apartments,"433 South Vermont Avenue, Los Angeles, CA 90020",34.06636,-118.29196,"Residence, NEC",1522,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903057,CAG994004,,02/27/2020,11/07/2023,11/13/2023,0.144,Minor,,,0,0
442 Ocean Apt. LLC,"442 Ocean Avenue 1108, Long Beach, CA 90802",442 Ocean Apt Construction,"442 Ocean Avenue, Long Beach, CA 90802",33.76718,-118.19726,"Residence, NEC",152,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901073,CAG994004,,02/12/2016,12/24/2020,07/06/2018,.144,Minor,,,0,2
464 Prospect-La Jolla Homeowner's Association,"464 Prospect Street, La Jolla, CA 92037",GW EX - 464 Prospect Garage,"7675 La Jolla Boulevard, La Jolla, CA 92037",32.842194,-117.280222,Domestic Site NEC,,San Diego,9,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R9-2015-0013,9 000003190,CAG919003,,09/26/2018,,09/26/2023,,Minor,C,3,0,8
4733 Elmwood HOA c/o AMP Management Company,"P.O. Box 741938, Los Angeles, CA 90004",4733 Elmwood HOA,"4733 Elmwood Avenue, Los Angeles, CA 90004",34.078611,-118.326111,"Residence, NEC",1522,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2018-0125,4B197500236,CAG994004,,06/05/2007,,11/13/2023,.05,Minor,,,1,19
"477 Market, LLC","333 West Santa Clara Street 810, San Jose, CA 95133",477 S. Market St.,"477 South Market Street, San Jose, CA 95133",,,Domestic Site NEC,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2 43NPG430684,,,05/20/2019,05/07/2021,12/31/2023,,Minor,,,1,0
"4D Development, LLC","8271 Melrose Avenue 207, Los Angeles, CA 90046",Huntley Project,"634 Huntley Drive, West Hollywood, CA 90069",34.083,-118.3805,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903014,CAG994004,,03/26/2019,01/20/2021,11/13/2023,.144,Minor,,,0,0
"4th & J, LLC","5141 California Avenue 100, Irvine, CA 92617","GW Extraction, Legacy at 4th and J, 372 4th Avenue","372 4th Avenue, San Diego, CA 92101",32.70931,-117.16149,Domestic Site NEC,,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R9-2015-0013,,,,10/27/2017,10/16/2018,10/27/2018,,Minor,,,0,0
"509 Orlando, LLC","8228 Sunset Boulevard 300, West Hollywood, CA 90046",507-509 Orlando,"507- 509 Orlando Avenue, West Hollywood, CA 90048",34.08054,-118.37347,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901127,CAG994004,,11/17/2016,04/23/2018,07/06/2018,.144,Minor,,,0,0
5100 Wilshire L.P. & 3279 Bernard L.P.,"2566 Overland Avenue 700, Los Angeles, CA 90064",The Mansfield,"5100 Wilshire Boulevard, Los Angeles, CA 90036",34.06184,-118.34112,"Development Site, NEC",152,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2013-0095,4B198901049,CAG994004,,02/05/2015,10/13/2017,07/06/2018,.072,Minor,,,0,0
"5103 W. Adams (LA), LLC","4700 Wilshire Boulevard, Los Angeles, CA 90069",2555 South Mansfield Avenue Project,"2555 South Mansfield Avenue, Los Angeles, CA 90016",34.03286,-118.35177,Domestic Site NEC,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R4-2018-0125,4B198903086,CAG994004,,03/15/2021,12/30/2022,11/13/2023,.144,Minor,,,0,0
