Agency,Agency Address,Facility Name,Facility Address,Latitude,Longitude,Place/Project Type,SIC/NAICS,County,Region,Program,Regulatory Measure Status,Regulatory Measure Type,Order No.,WDID,NPDES No.,Adoption Date,Effective Date,Termination Date,Expiration/Review Date,Design Flow,Major/Minor,Complexity,TTWQ,# Enforcement Actions within 5 years,# Violations within 5 years
ARCO Petroleum Products Company San Mateo,"Po Box 5811, San Mateo, CA 94402",Arco SS #5369,"36974 Fremont, Fremont, CA 94536",37.560823,-122.011982,Other,5541,Alameda,2,NPDNONMUNIPRCS,Historical,Enrollee,91-056,2 019280001,CAG912002,,06/08/1992,04/17/1996,,.022,Minor,A,3,0,0
ARCO Petroleum Products Company San Mateo,"Po Box 5811, San Mateo, CA 94402",Arco SS #2153,"2800 Homestead, Santa Clara, CA 95051",37.338373,-121.976773,Other,5541,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,91-056,2 438434001,CAG912002,,06/08/1992,04/17/1996,,.007,Minor,A,3,0,0
ARCO Petroleum Products Company San Ramon,"Po Box 1257, San Ramon, CA 94583",ARCO Service Station 5384,"545 West Alma Avenue, San Jose, CA 95110",,,Gasoline Service Station,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2012-0012,2 438636002,CAG912002,,03/15/2012,07/02/2014,03/15/2017,,Minor,,,0,0
ARCO Petroleum Products Company San Ramon,"Po Box 1257, San Ramon, CA 94583",Former Arco Service Station # 0495,"10550 South De Anza Boulevard, Cupertino, CA 95014",37,-122,Other,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,R2-2006-0075,2 438635001,CAG912002,,02/14/2007,01/21/2011,01/12/2012,,Minor,,,0,0
ARCO Pipeline Company,"Po Box 787, Long Beach, CA 90801",ARCO Line 90 98-30011,,,,Other,4612(+),,7,NPDNONMUNIPRCS,Historical,Enrollee,98-300,7A335555011,CAG677001,,01/20/1998,05/16/2000,,.016,,C,3,0,0
ARCO Pipeline Company,"Po Box 787, Long Beach, CA 90801","Dewatering,General","275 North Maple Street, Corona, CA 91720",,,Other,1623,Riverside,8,NPDNONMUNIPRCS,Historical,Enrollee,98-067,8 332387001,CAG998001,,09/27/1995,10/30/1998,,2.3,,C,3,0,0
ARCO Pipeline Company,"Po Box 787, Long Beach, CA 90801",ARCO Pipe Line Company,,,,Other,4612,,5F,NPDNONMUNIPRCS,Historical,Enrollee,,5D156002001,,,01/27/1997,11/28/1999,,.0001,,C,3,0,0
ARCO Western Energy,"Po Box 147, Bakersfield, CA 93302-0147",Gaviota,"Pcr 2793, Santa Barbara, CA 93102",,,Other,1389,Santa Barbara,3,NPDNONMUNIPRCS,Historical,Enrollee,00-169,3 422075001,CAG283001,,12/08/1995,11/29/2000,,.01,,,,0,0
"ARE-SAN FRANCISCO NO. 88, LLC","1700 Owens Street, San Francisco, CA 94158",Alexandria Center for Life Science,"987-1075 Commercial Street, San Carlos, CA 94070",37.503067,-122.250906,Domestic Site NEC,,San Mateo,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2_41NPG444098,,,07/06/2021,09/16/2022,12/31/2023,,Minor,,,0,0
"ARUP North Americas, LTD","560 Mission Street 700, San Francisco, CA 94105",Quien Sabe Ranch,"8799 Quien Sabe Road, Hollister, CA 95023",36.833264,-121.207438,"Development Site, NEC",,San Benito,3,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R3-2011-0223,,CAG993001,,04/01/2015,04/02/2015,03/31/2020,0.00001,Minor,C,3,0,0
AT&T,"4480 Kester Avenue Room 414, Sherman Oaks, CA 91403",AT&T Dewatering Carpinteria,"Hwy 101 off-ramp at Carpinteria Avenue, Carpinteria, CA 93013",34.404391,-119.535512,"Service/Commercial Site, NEC",,Santa Barbara,3,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R3-2017-0042,3 420321863,,,12/23/2020,04/23/2021,03/06/2023,,Minor,,,0,0
AT&T (Environmental Health & Safety),"2600 Camino Ramon 3e000, San Ramon, CA 94583",AT&T Utility Vaults in SFBay Region 2,"Regionwide, CA",,,Utility Structure,,San Francisco,2,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,2000U000082,CAG990002,07/19/2006,11/16/2006,,,0,Minor,C,3,0,0
AT&T (Environmental Health & Safety),"2600 Camino Ramon 3e000, San Ramon, CA 94583",AT&T Facilities Under the General Utilities Permit,"Redding, CA",,,Utility Structure,4813,Shasta,5R,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,5000U000085,CAG990002,,08/05/2015,,06/29/2020,,Minor,C,3,0,0
AT&T Company formerly Pacific Bell Telephone Company,"2600 Camino Ramon 3e000, San Ramon, CA 94583",Pacific Bell (AT&T),CA,,,Utility Structure,,Sonoma,1,NPDNONMUNIPRCS,Historical,Enrollee,,1000U000034,,,12/15/1997,12/31/2006,03/21/2011,,Minor,,,0,0
AT&T Company formerly Pacific Bell Telephone Company,"2600 Camino Ramon 3e000, San Ramon, CA 94583",Pacific Bell Tel Co. - various utility vaults,CA,,,Utility Structure,4899,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,4000U000037,CAG990002,,05/29/1997,,06/29/2020,0,Minor,C,3,0,0
AT&T Company formerly Pacific Bell Telephone Company,"2600 Camino Ramon 3e000, San Ramon, CA 94583",Pacific Bell/Statewide Utility,"3540 Kings RM 128D Way, Sacramento, CA 95851",,,Other,,Sacramento,6T,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,6000U000039,CAG990002,07/18/2001,07/19/2006,,07/19/2012,0,Minor,C,3,0,0
AT&T Company formerly Pacific Bell Telephone Company,"2600 Camino Ramon 3e000, San Ramon, CA 94583",ATT PACIFIC BELL Utility Vaults in SF Bay Region (2),"2600 Camino Ramon ROOM 3E000, San Ramon, CA 94583",,,Utility Structure,4812,Contra Costa,2,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,2000U000035,CAG990002,07/19/2006,11/26/2006,,,0,Minor,C,3,0,0
AT&T Corporation,"900 At&T Way 5c109e, Bedminster, NJ 07921",AT & T/Statewide Utility GP,"Susanville, CA",,,Other,,Lassen,6T,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,6000U000086,CAG990002,,07/18/2001,,07/18/2015,0,Minor,C,3,0,0
AT&T Corporation,"900 At&T Way 5c109e, Bedminster, NJ 07921",AT&T Utility Vault Discharges,"Region Wide, CA",,,Utility Structure,,Orange,8,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,8000U000026,CAG990002,,09/25/2007,,06/29/2020,0,Minor,C,3,0,0
AT&T Corporation,"900 At&T Way 5c109e, Bedminster, NJ 07921",AT&T Statewide Cable System,CA,,,Utility Structure,4911,Sonoma,1,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,1000U000081,CAG990002,,09/21/2007,,09/21/2012,0,Minor,C,3,0,0
AT&T Corporation,"2600 Camino Ramon 3e000, San Ramon, CA 94583-0995",SBC (Pacific Bell) 0111DWQ40,"3540 Kings Wy, Room 128D, CA",,,Other,4812,Riverside,7,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,7000U000040,CAG990002,,01/01/2007,,05/28/2007,0,Minor,C,3,0,0
AT&T Corporation,"900 At&T Way 5c109e, Bedminster, NJ 07921",Region 3 - Pacific Bell (a.k.a. SBC) Regionwide Utility Vaults (NPDES),"2600 Camino Ramon 3E000, San Ramon, CA 94583",,,Utility Structure,,San Luis Obispo,3,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,3000U000036,CAG990002,01/01/2007,01/01/2007,,07/19/2011,0,Minor,C,3,0,0
AT&T Corporation,"2600 Camino Ramon 3e000, San Ramon, CA 94583-0995",AT&T Utility vaults,CA,,,Utility Structure,,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,4000U000084,CAG990002,,09/07/2001,,06/29/2020,0,Minor,C,3,0,0
AT&T Corporation,"900 At&T Way 5c109e, Bedminster, NJ 07921",AT&T Utility Vault,"Various Locations, San Diego, CA",,,Utility Structure,,San Diego,9,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,9000U000089,CAG990002,07/19/2006,09/18/2015,,06/29/2020,0,Minor,C,3,0,0
AT&T Corporation,"900 At&T Way 5c109e, Bedminster, NJ 07921",At&T Corporation,"4480 Willow Road, Pleasanton, CA 94588",37.687873,-121.898378,Other,4813,Alameda,7,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,7000U000087,CAG990002,,01/01/2007,,10/23/2011,0,Minor,C,3,0,0
AT&T Corporation,"900 At&T Way 5c109e, Bedminster, NJ 07921",Region 3 - At&T Regionwide Utility Vaults (NPDES),"Regionwide, San Luis Obispo, CA 93401",,,Utility Structure,,San Luis Obispo,3,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0174-DWQ,3000U000083,CAG990002,01/01/2007,01/01/2007,,07/19/2015,0,Minor,C,3,0,0
Abalone Farm Inc,"Po Box 136, Cayucos, CA 93430","Abalone Farm, The","Highway 1 & Villa Creek Rd, Cayucos, CA 93430",,,Aquaculture/Hatchery,0279,San Luis Obispo,3,"ANIWSTOTH, NPDESWW, NPDNONMUNIPRCS",Historical,Enrollee,R3-2019-0001,3 405009001,CAG993003,09/07/2007,09/07/2007,12/11/2020,01/31/2024,8.4,Minor,C,3,0,0
"Abbot Kinney Investments, LLC",,Ak Live/Work,"1121 Abbot Kinney, Venice, CA 90291",33.991758,-118.470373,Other,1629,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2003-0111,4B197500020,CAG994004,,08/07/2003,12/07/2005,12/07/2005,.2,Minor,,,0,0
"Abgl, Llc","555 Capitol Mall 10th Floor, Sacramento, CA 95814","Dewatering,MW-1,2,3, & 4","4 Individual Locations, CA",,,Domestic Site NEC,,San Bernardino,8,NPDNONMUNIPRCS,Historical,Enrollee,R8-2009-0003,8 362895001,CAG998001,,09/05/2007,08/01/2015,,,Minor,,,0,0
AboveNet Communications,,Silverado Aquifer Testing,"2269 El Segundo, El Segundo, CA 90245",33.916462,-118.384531,Other,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-045,4B196000551,CAG994001,,09/01/2000,05/17/2004,,.0694,,C,3,0,0
Access Destination Services,"1650 North Hotel Circle 110, San Diego, CA 92108",Access Destination Services/Fireworks America - Fireworks Event Locations,"Various locations throughout the San Diego Region, CA",,,Outdoor Event Venue,7999,San Diego,9,NPDNONMUNIPRCS,Historical,Enrollee,R9-2011-0022,,CAG999002,09/07/2011,09/01/2011,04/20/2016,,,Minor,C,3,0,0
Acclaim Companies,"125 Willow Road, Menlo Park, CA 94025",3150 El Camino Residential Development,"3150 El Camino Real, Palo Alto, CA 94306",,,"Development Site, NEC",,Santa Clara,2,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R2-2017-0048,2_43NPG462109,,,08/12/2025,,12/31/2025,,Minor,,,0,0
Adam Miller c/o EPD Consultants,"21235 Pacific Coast Highway, Malibu, CA 90265",Miller Residence,"24900 Pacific Coast Highway, Malibu, CA 90265",34.0374,-118.63758,"Residence, NEC",,Los Angeles,4,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R4-2018-0125,4B198903079,CAG994004,,02/24/2021,,11/13/2023,.015120,Minor,,,0,13
Adams Plaza,,SEIU - 1545 Wilshire,"1545 Wilshire Boulevard, Los Angeles, CA 90017",34.055154,-118.269646,Domestic Site NEC,6512,Los Angeles,4,NPDESWW,Historical,NPDES Permit,88-123,4B191101001,CA0058297,11/28/1988,11/28/1988,07/21/1997,11/10/1993,.01,Minor,C,3,0,0
Adams Ranch Mutual Water Company,"Po Box 6841, Rosemead, CA 91770",Adams Ranch Mutual Water Co.,"9246 Lower Azusa, Rosemead, CA 91770",34.088105,-118.066969,Other,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-045,4B196000574,CAG994001,,06/11/2001,02/25/2004,,.432,,C,3,0,0
Adams Steel,"Po Box 6258, Anaheim, CA 92806",Adams Steel Salvage,CA,33.848578,-117.851112,Other,5093,Orange,8,NPDESWW,Historical,NPDES Permit,98-004,8 302741001,CA8000277,03/06/1998,03/06/1998,11/18/2005,03/01/2003,.5,Minor,C,2,0,0
Adelanto City,,Adelanto City WS,"Adelanto, CA 92301",,,Utility Structure,,San Bernardino,6V,NPDNONMUNIPRCS,Active,Enrollee - NPDES,2014-0194-DWQ,4DW0342,,,05/27/2021,,02/25/2022,,Minor,,,0,0
Administrative Office of the Court,"455 Golden Gate Avenue 8th Floor, San Francisco, CA 94102-3688",Long Beach Court Building,"West Broadway Avenue, Long Beach, CA 90802",,,Other,,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,R4-2008-0032,4B198900082,CAG994004,,05/31/2011,11/29/2012,06/05/2013,.72,Minor,,,0,0
Adobe Systems,"345 Park Avenue, San Jose, CA 95110-2704","Tower II, Phase II","151 Almaden Boulevard, San Jose, CA 95110",,,Groundwater Cleanup Site,7372,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2 438501006,CAG912002,,08/25/2014,12/22/2020,09/01/2022,,Minor,B,2,0,0
Adobe Systems,"345 Park Avenue, San Jose, CA 95110-2704",Adobe System Site,"333 Park, San Jose, CA 95113",,,"Service/Commercial Site, NEC",7371(+),Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee,94-087,2 438501001,CAG912003,,10/28/1994,07/20/1999,,.72,Minor,B,2,0,0
Adobe Systems,"345 Park Avenue, San Jose, CA 95110-2704","Tower I, Phase II","345 Park, San Jose, CA 95110",,,Groundwater Cleanup Site,7372,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2 4385001007,CAG912002,,08/25/2014,12/22/2020,09/01/2022,,Minor,B,2,0,0
"Adobe, Inc.","345 Park Avenue, San Jose, CA 95110",Adobe North Tower,"333 West San Fernando Street, San Jose, CA 95113",37.33082,-121.89573,Domestic Site NEC,,Santa Clara,2,NPDNONMUNIPRCS,Historical,Enrollee - NPDES,R2-2017-0048,2 43NPG857687,,,04/17/2019,10/16/2020,12/31/2023,,Minor,,,0,0
Advanced Micro Devices Inc. Attn.: Ms. Heather O'Cleirigh,"7171 Southwest Parkway, Austin, TX 78735",915 DeGuigne Drive Groundwater Treatment System,"915 Deguigne Drive, Sunnyvale, CA 94088",,,Gasoline Service Station,3674,Santa Clara,2,NPDNONMUNIPRCS,Active,Enrollee - NPDES,R2-2017-0048,2 438106003,CAG912002,,08/25/2014,,09/01/2022,,Minor,B,2,2,5
Advanco Constructors,"Po Box 1210, Upland, CA 91785","Dewatering,Newport Beach","Park & Jade Avenue, Newport Beach, CA 92658",,,Other,1623,Orange,8,NPDNONMUNIPRCS,Historical,Enrollee,93-049,8 303094001,CAG998001,,11/03/1997,07/01/1998,,.01,,C,3,0,0
Advanco Constructors,,Valencia WRP Solids Processing,"28185 The Old, Valencia, CA 91355",34.43314,-118.592712,Other,1629,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-045,4A196000433,CAG994001,,08/19/1998,06/01/1999,,.6,,C,3,0,0
Advanco Constructors,,Terminal Island WTP,"455 Ferry, San Pedro, CA 90731",33.749078,-118.25259,Other,1629,Los Angeles,4,NPDNONMUNIPRCS,Historical,Enrollee,97-045,4B196000498,CAG994001,,07/15/1999,08/28/2000,,.72,,C,3,0,0
Advanco Constructors,"Po Box 1210, Upland, CA 91785","Dewatering,Riverside STP",CA,,,Other,1623(+),Riverside,8,NPDESWW,Historical,NPDES Permit,89-16403,8 332261001,CA8000104,12/08/1989,12/08/1989,,,1,Minor,C,3,0,0
