Place ID,order_key,PDF_File,as_of_dates,n_snapshots
206888,418016,AvilaNPDESPermit.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
206888,418016,R3-2017-0025 FINAL.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
206888,418016,WDR _NPDES_.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
208276,424707,0066_R4-2008-0028_WDR_PKG.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01,4
208276,424707,0066_R4-2013-0182_WDR_PKG.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01,4
208276,424707,0066_R4-2019-0023_WDR_PKG.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01,4
208276,455133,0066_R4-2008-0028_WDR_PKG.pdf,2025-06-01;2026-06-01,2
208276,455133,0066_R4-2013-0182_WDR_PKG.pdf,2025-06-01;2026-06-01,2
208276,455133,0066_R4-2019-0023_WDR_PKG.pdf,2025-06-01;2026-06-01,2
208276,455133,Adopted Avalon NPDES Permit_CI 0066 05232024_ADAchecked_signed.pdf,2025-06-01;2026-06-01;2026-08-13,3
208519,144924,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
208519,379821,RM379821.pdf,2026-08-13,1
208536,134285,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
208536,410188,2014_0153_dwq.pdf,2026-08-13,1
208572,147595,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
208668,407229,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
208746,144180,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
208746,393484,,2026-08-13,1
208769,427492,R6V-2019-0252_WDR_Barstow.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
208771,146725,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
208930,443599,R7-2021-0023.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209007,436351,r5-2019-0086_wdrs.pdf,2026-08-13,1
209007,R5-2004-0045-NPDES,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
209014,147775,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209035,407542,R5-2011-0053.pdf,2021-06-01;2022-06-01,2
209035,407542,R5-2016-0045-01.pdf,2021-06-01;2022-06-01,2
209035,407542,R5-2016-0045-02.pdf,2021-06-01;2022-06-01,2
209035,407542,r5-2016-0045.pdf,2021-06-01;2022-06-01,2
209035,448452,R5-2011-0053.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
209035,448452,R5-2016-0045-01.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
209035,448452,R5-2016-0045-02.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
209035,448452,r5-2016-0045.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
209035,448452,r5-2022-0037_npdes.pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,5
209086,134235,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
209086,412091,2014_0153_dwq.pdf,2026-08-13,1
209225,148197,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209253,459990,Benicia Order Final - 6-14.pdf,2025-06-01;2026-06-01,2
209253,459990,Benicia R2-2025-0001.pdf,2025-06-01;2026-06-01;2026-08-13,3
209253,459990,Nutrient Watershed Permit - R2-2014-0014.pdf,2025-06-01;2026-06-01,2
209253,R2-2019-0034,,2021-06-01;2022-06-01;2023-06-01;2024-06-01,4
209349,148091,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209383,146361,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209473,134416,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
209473,402313,2014_0153_dwq.pdf,2026-08-13,1
209483,147027,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
209483,457541,0153 NOA and MRP for Big Basin WWTP_final.pdf,2026-08-13,1
209509,373954,r5-2005-0156.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
209509,373954,r5-2012-0048.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
209509,400425,2014-0153-DWQ-R5187.pdf,2026-08-13,1
209527,131472,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209528,146559,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209539,141277,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
209551,387827,2007-0032.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
209551,387827,r5-2012-0083.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
209551,421669,r5-2020-0008_wdr.pdf,2026-08-13,1
209595,140933,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
209595,411412,bill_kathy_NOA.pdf,2026-08-13,1
209662,148110,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
