"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","FACILITY_NAME","DESCRIPTION","OWNER_TYPE","SUPERFUND_FLAG","SEMS_ID","SCF_ELIGIBLE","REVIEW_STATUS","REVIEW_TYPE","DATE_LAST_MODIFIED","NO_NEEDS"
"42001032001",1195525,PA,Wastewater,FOUNTAIN HILL BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42001210001",1195679,PA,Wastewater,WARWICK TWP LANCASTER CS,,Public,N,,N,UNC,,2023-05-03,
"42002013001",1195785,PA,Wastewater,ABINGTON TWP LACKAWANNA STP,,Public,N,,N,UNC,,2023-05-03,
"42002016001",1195787,PA,Wastewater,HARVEYS LAKE SEWAGE C S,,Public,N,,N,UNC,,2023-05-03,
"42002036001",1195806,PA,Wastewater,CARBONDALE CITY CS,,Public,N,,N,UNC,,2023-05-03,
"42002051001",1195821,PA,Wastewater,CLARKS GREEN BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42002118004",1195890,PA,Wastewater,MOOSIC INTERCEPTOR,,Public,N,,N,UNC,,2023-05-03,
"42002298001",1195962,PA,Wastewater,BRIDGEWATER TWP MUN AUTH,,Public,N,,N,UNC,,2023-05-03,
"42003077001",1196052,PA,Wastewater,MILLERSTOWN BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42003176001",1196151,PA,Wastewater,MCVEYTOWN BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42004012001",1196236,PA,Wastewater,BENTON STP,,Public,N,,N,UNC,,2023-05-03,
"42004096001",1196316,PA,Wastewater,SCOTT TWP - ALMEDIA SS,,Public,N,,N,UNC,,2023-05-03,
"42005177001",1196669,PA,Wastewater,ARONA BORO SEW SYS,,Public,N,,N,UNC,,2023-05-03,
"42005307001",1196805,PA,Wastewater,FALLEN TIMBER SS TO ELIZABETH,,Public,N,,N,UNC,,2023-05-03,
"42007443001",1197190,PA,Wastewater,VALLEY TWP CS,,Public,N,,N,UNC,,2023-05-03,
"42007486002",1197221,PA,Wastewater,WARWICK TWP - FISH CK STP,,Public,N,,N,UNC,,2023-05-03,
"42007509001",1197257,PA,Wastewater,EAST BRADY BORO STP,,Public,N,,N,UNC,,2023-05-03,
"28001125001",1233752,MS,Wastewater,ROSEDALE POTW,,Public,N,,N,UNC,,2023-05-03,
"06005111001",3477912,CA,Wastewater,Mule Creek State Prison WWTF,,Public,N,,N,UNC,,2023-05-03,
"42006190002",431248,PA,Wastewater,MORRIS TWP / RUSH TWP SS,,Public,N,,N,UNC,,2023-05-03,
"45000277001",1157187,SC,Wastewater,SOUTHSIDE PLANT,,Public,N,,N,UNC,,2023-05-03,
"45000606101",1157218,SC,Wastewater,N. TYGER RIV. WWTP,,Public,N,,N,UNC,,2023-05-03,
"28001060001",1160435,MS,Wastewater,PRENTISS POTW,,Public,N,,N,UNC,,2023-05-03,
"28001181001",1160467,MS,Wastewater,SHADY GROVE SEPTICS,,Public,N,,Y,UNC,,2023-05-03,
"28001445001",1160538,MS,Wastewater,WEST POTW,,Public,N,,N,UNC,,2023-05-03,
"46000395001",1179271,SD,Wastewater,BRANDT WWTF,,Public,N,,N,UNC,,2011-04-01,
"46000486001",1179340,SD,Wastewater,ONIDA LAGOON,,Public,N,,N,UNC,,2013-04-26,
"46000514001",1179360,SD,Wastewater,BADGER WWTP,,Public,N,,N,UNC,,2001-06-12,
"46000521001",1179367,SD,Wastewater,QUINN Sanitary Sewer System,,Public,N,,N,UNC,,2011-04-01,
"42000147001",1195484,PA,Wastewater,UPPER GWYNNED-TOWAMENCIN STP,,Public,N,,N,UNC,,2023-05-03,
"42000152001",1195488,PA,Wastewater,NORTH WALES BORO STP,,Public,N,,N,UNC,,2023-05-03,
"42001039001",1195531,PA,Wastewater,EMMAUS SS,,Public,N,,N,UNC,,2023-05-03,
"42001052001",1195547,PA,Wastewater,LOWER PAXTON COLL SYST,,Public,N,,N,UNC,,2023-05-03,
"42001114001",1195610,PA,Wastewater,DERRY TWP - CLEARWATER STP,,Public,N,,N,UNC,,2023-05-03,
"42001166001",1195648,PA,Wastewater,PENBROOK BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42001307001",1195758,PA,Wastewater,RUSH TWP SA (HOMETOWN),,Public,N,,N,UNC,,2023-05-03,
"42001308001",1195760,PA,Wastewater,WEISSPORT CS,,Public,N,,N,UNC,,2023-05-03,
"42002004001",1195779,PA,Wastewater,NESCOPECK STP,,Public,N,,N,UNC,,2023-05-03,
"42002062001",1195831,PA,Wastewater,EXETER BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42002068001",1195836,PA,Wastewater,KINGSTON BORO SS,,Public,N,,N,UNC,,2023-05-03,
"42002167001",1195914,PA,Wastewater,HAWLEY AREA STP,,Public,N,,N,UNC,,2023-05-03,
"42002282001",1195957,PA,Wastewater,SOUTH CREEK TWP,,Public,N,,N,UNC,,2023-05-03,
"42003130001",1196112,PA,Wastewater,PENN TWP COVE WWTP,,Public,N,,N,UNC,,2023-05-03,
"42005030001",1196495,PA,Wastewater,MOON TWP MA -CRESCENT/S HEIGHTS,,Public,N,,N,UNC,,2023-05-03,
"42005179002",1196671,PA,Wastewater,CENTERVILLE - RICHEYVILLE STP,,Public,N,,N,UNC,,2023-05-03,
"42005183001",1196680,PA,Wastewater,JEANNETTE CITY STP,,Public,N,,N,UNC,,2023-05-03,
"42005204001",1196704,PA,Wastewater,ROSS TOWNSHIP SS,,Public,N,,N,UNC,,2023-05-03,
"42006139001",1197060,PA,Wastewater,CONNEAUT LAKE CS,,Public,N,,N,UNC,,2023-05-03,
"42006171001",1197091,PA,Wastewater,FOX TWP STP,,Public,N,,N,UNC,,2023-05-03,
"42007462001",1197200,PA,Wastewater,COLEBROOKDALE SS TO MORYSVILLE,,Public,N,,N,UNC,,2023-05-03,
