facility_name,txt_file,extraction_file,completion_token,prompt_token,total_token,reasoning_token,cost_usd
OCSD Plant 2,R8-2021-0010_OCSD.txt,R8-2021-0010_OCSD_259158.json,2300,8131,10431,1920,
Groundwater Replenishment System - Advanced WTF,R8-2022-0002_OCWD_NPDES.txt,R8-2022-0002_OCWD_NPDES_228046.json,4582,8597,13179,3712,
East County Water Recycling Facility,r9_2025_0060.txt,r9_2025_0060_247351.json,783,8205,8988,768,
Palo Alto Regional WQCP,CA0037834 Palo Alto Order R2-2025-0003.txt,CA0037834 Palo Alto Order R2-2025-0003_247457.json,5988,9107,15095,4096,
City of Patterson WQCF,R5-2018-0070-001.txt,R5-2018-0070-001_247782.json,5893,8572,14465,4992,
City of Patterson WQCF,R5-2018-0070_WDRs_MRP.txt,R5-2018-0070_WDRs_MRP_247782.json,8468,10707,19175,5824,
Petaluma Ellis Creek Water Recycling Facility (NPDES Permit),Order R2-2021-0008 (1).txt,Order R2-2021-0008 (1)_248087.json,5534,8723,14257,3648,
City of Pinole WWTP,R2-2023-0008.txt,R2-2023-0008_217831.json,3778,8607,12385,2560,
Pismo Beach WWTP,2015_0016_npdes.pdf.txt,2015_0016_npdes.pdf_248519.json,4068,8271,12339,3200,
"Placer Cnty SA No 28, ZONE No.6, Sheridan WWTP",SheridanWWTP_NOA.txt,SheridanWWTP_NOA_254925.json,3374,8487,11861,2944,
Hangtown Creek WRF,r5-2017-0085-007.txt,r5-2017-0085-007_229595.json,4437,8273,12710,3008,
Portola WWTP,r5-2024-0023_npdes.txt,r5-2024-0023_npdes_248936.json,3435,8388,11823,2880,
Red Bluff WW Reclamation Plant,r5_2023-0048_npdes.txt,r5_2023-0048_npdes_252119.json,4914,8635,13549,3520,
Redway POTW,23_0004_Redway_CSD_NPDES_01.26.23_EOsigned.txt,23_0004_Redway_CSD_NPDES_01.26.23_EOsigned_252211.json,5254,8774,14028,3648,
Reedley WWTF,R5-2010-0120.txt,R5-2010-0120_273131.json,3568,8530,12098,2880,
Rialto WWRF,14-0010_Rialto_City_of_Renewal_WDR_MWWTP.txt,14-0010_Rialto_City_of_Renewal_WDR_MWWTP_259149.json,8062,8777,16839,6400,
Richmond WPCP,R2-2024-0008 West County.txt,R2-2024-0008 West County_252657.json,5513,9871,15384,4608,
Richvale WWTF,Richvale_NOA-Memo-MRP.txt,Richvale_NOA-Memo-MRP_252660.json,3486,8150,11636,3008,
Lake California WWTP,WDR Order R5-2016-0033.txt,WDR Order R5-2016-0033_236190.json,6452,10653,17105,5248,
Rio Dell City WWTF,Order No. 2023-0022 Combined.txt,Order No. 2023-0022 Combined_252750.json,4169,8670,12839,3264,
Beach WWTF,r5-2024-0054_npdes.txt,r5-2024-0054_npdes_252771.json,3398,8191,11589,2560,
Northwest WWTF,r5-2021-0004.txt,r5-2021-0004_266439.json,4865,8442,13307,3840,
Hammonton Gold Village WWTP,r5-2022-0024_npdes.txt,r5-2022-0024_npdes_229559.json,5203,8369,13572,4288,
Riverside City WWRF,13-0016_Riverside_City_of_Dept_of_Public_Works.txt,13-0016_Riverside_City_of_Dept_of_Public_Works_259150.json,5174,8404,13578,3712,
Rodeo Sanitary District WWTP,R2-2022-0037.txt,R2-2022-0037_253174.json,6744,8888,15632,5120,
Pleasant Grove WWTP,roseville_PG_wwtp_noa.txt,roseville_PG_wwtp_noa_248706.json,3305,8202,11507,2624,
Dry Creek WWTP,roseville_drycreek_wwtp_mgo_noa_final.txt,roseville_drycreek_wwtp_mgo_noa_final_220768.json,4712,8577,13289,3840,
SAM WWTP (Sewer Authority Mid-Coastside WWTP),CA0038598 SAM Order R2-2023-0002.txt,CA0038598 SAM Order R2-2023-0002_255139.json,6251,9024,15275,4480,
El Toro WD WRP,r9_2022_0006_acoo_signature signed dwg 03-18-21.txt,r9_2022_0006_acoo_signature signed dwg 03-18-21_222509.json,2922,8529,11451,2432,
SOCWA - Coastal TP,r9_2022_0006_acoo_signature signed dwg 03-18-21.txt,r9_2022_0006_acoo_signature signed dwg 03-18-21_257850.json,977,8529,9506,960,
SOCWA Aliso Creek Ocean Outfall,r9_2022_0006_acoo_signature signed dwg 03-18-21.txt,r9_2022_0006_acoo_signature signed dwg 03-18-21_257590.json,4794,8541,13335,3392,
SOCWA - Regional TP,r9_2022_0006_acoo_signature signed dwg 03-18-21.txt,r9_2022_0006_acoo_signature signed dwg 03-18-21_241053.json,4438,8529,12967,3264,
IRWD Los Alisos WRP,r9_2022_0006_acoo_signature signed dwg 03-18-21.txt,r9_2022_0006_acoo_signature signed dwg 03-18-21_237396.json,337,8537,8874,320,
SOCWA San Juan Creek Ocean Outfall,amended_order_sjcoo signed dwg 03-19-25.txt,amended_order_sjcoo signed dwg 03-19-25_257592.json,5136,8396,13532,3392,
SOCWA San Juan Creek Ocean Outfall,att._1_to_amending_order_sjcoo.txt,att._1_to_amending_order_sjcoo_257592.json,5136,8396,13532,3392,
SOCWA San Juan Creek Ocean Outfall,r9-2022-0005-a1_v3 signed dwg 03-28-24.txt,r9-2022-0005-a1_v3 signed dwg 03-28-24_257592.json,7013,8869,15882,4928,
SOCWA San Juan Creek Ocean Outfall,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.txt,r9_2022_0005_sjcoo_signature signed dwg 03-18-22_257592.json,6535,8854,15389,4736,
SMWD Oso Creek WRP,amended_order_sjcoo signed dwg 03-19-25.txt,amended_order_sjcoo signed dwg 03-19-25_257520.json,5351,8392,13743,3584,
SMWD Oso Creek WRP,att._1_to_amending_order_sjcoo.txt,att._1_to_amending_order_sjcoo_257520.json,5351,8392,13743,3584,
SMWD Oso Creek WRP,r9-2022-0005-a1_v3 signed dwg 03-28-24.txt,r9-2022-0005-a1_v3 signed dwg 03-28-24_257520.json,3499,8865,12364,2880,
SMWD Oso Creek WRP,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.txt,r9_2022_0005_sjcoo_signature signed dwg 03-18-22_257520.json,3730,8850,12580,3200,
SMWD - Chiquita WRP,amended_order_sjcoo signed dwg 03-19-25.txt,amended_order_sjcoo signed dwg 03-19-25_257518.json,5701,8396,14097,4096,
SMWD - Chiquita WRP,att._1_to_amending_order_sjcoo.txt,att._1_to_amending_order_sjcoo_257518.json,5701,8396,14097,4096,
SMWD - Chiquita WRP,r9-2022-0005-a1_v3 signed dwg 03-28-24.txt,r9-2022-0005-a1_v3 signed dwg 03-28-24_257518.json,6461,8869,15330,5120,
City of San Clemente WRP,amended_order_sjcoo signed dwg 03-19-25.txt,amended_order_sjcoo signed dwg 03-19-25_255218.json,6185,8392,14577,4480,
City of San Clemente WRP,att._1_to_amending_order_sjcoo.txt,att._1_to_amending_order_sjcoo_255218.json,6185,8392,14577,4480,
City of San Clemente WRP,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.txt,r9_2022_0005_sjcoo_signature signed dwg 03-18-22_255218.json,655,8850,9505,640,
SOCWA - 3A Treatment Plant,amended_order_sjcoo signed dwg 03-19-25.txt,amended_order_sjcoo signed dwg 03-19-25_241540.json,6284,8396,14680,4480,
SOCWA - 3A Treatment Plant,att._1_to_amending_order_sjcoo.txt,att._1_to_amending_order_sjcoo_241540.json,6284,8396,14680,4480,
SOCWA - 3A Treatment Plant,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.txt,r9_2022_0005_sjcoo_signature signed dwg 03-18-22_241540.json,5002,8854,13856,3904,
J.B. Latham Wastewater Treatment Plant,amended_order_sjcoo signed dwg 03-19-25.txt,amended_order_sjcoo signed dwg 03-19-25_236649.json,335,8400,8735,320,
J.B. Latham Wastewater Treatment Plant,att._1_to_amending_order_sjcoo.txt,att._1_to_amending_order_sjcoo_236649.json,335,8400,8735,320,
J.B. Latham Wastewater Treatment Plant,r9_2022_0005_sjcoo_signature signed dwg 03-18-22.txt,r9_2022_0005_sjcoo_signature signed dwg 03-18-22_236649.json,4765,8858,13623,3776,
EchoWater Resource Recovery Facility,r5-2021-0019-01_npdes.txt,r5-2021-0019-01_npdes_254981.json,6055,8448,14503,4352,
EchoWater Resource Recovery Facility,r5-2021-0019-02.txt,r5-2021-0019-02_254981.json,6213,8382,14595,4608,
EchoWater Resource Recovery Facility,r5-2021-0019_npdes.txt,r5-2021-0019_npdes_254981.json,6970,8452,15422,5056,
Sac City Combined WW Collection/TRT Sys,r5-2026-0003_npdes.txt,r5-2026-0003_npdes_215236.json,1675,8556,10231,1408,
Samoa Pacific WWTP (Samoa Town Site),20_0005_Samoa WWTF_NPDES.txt,20_0005_Samoa WWTF_NPDES_255165.json,5144,8352,13496,4224,
San Andreas SD WWTP,R5-2024-0025_npdes.txt,R5-2024-0025_npdes_255180.json,5180,9355,14535,3392,
Margaret H Chandler WWRF,R8-2017-0049_SBMWDWRF.txt,R8-2017-0049_SBMWDWRF_259220.json,2574,8166,10740,2048,
City of San Diego North City Pure Water Facility,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20.txt,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20_850597.json,5056,8364,13420,3840,
South Bay WRP,r9-2021-0011-amended-r9-2026-0006.txt,r9-2021-0011-amended-r9-2026-0006_257831.json,3599,8324,11923,2816,
South Bay WRP,r9-2021-0011.txt,r9-2021-0011_257831.json,3425,8307,11732,2752,
Point Loma WWTP & Ocean Outfall,Point Loma_Final Permit_CA0107409.txt,Point Loma_Final Permit_CA0107409_248796.json,4873,8281,13154,3648,
North City WRP,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20.txt,Adopted Amended OrderNo.R9-2020-0001 signed dwg 08-13-20_244506.json,3983,8344,12327,3200,
San Elijo Water Campus,CA0107999_OrderR920180003.txt,CA0107999_OrderR920180003_255265.json,4885,8761,13646,3328,
SF Arprt Mel Leong TP-Industrl,SFO Aiport NPDES Permit Order R2-2025-0002.txt,SFO Aiport NPDES Permit Order R2-2025-0002_256506.json,8693,8926,17619,6080,
SF Airport Mel Leong TP-Sanitary Waste,SFO Aiport NPDES Permit Order R2-2025-0002.txt,SFO Aiport NPDES Permit Order R2-2025-0002_256507.json,6720,8926,15646,5376,
"SF-SE Water Pollution Control Plant, N-Point & Bayside",R2-2013-0029.txt,R2-2013-0029_256499.json,8782,9031,17813,7040,
SF - OCEANSIDE Water Pollution Control Plant,R2-2019-0028.txt,R2-2019-0028_256498.json,3971,8295,12266,3136,
San Jose/Santa Clara WPCP,CA0037842 San Jose Order R2-2025-0027.txt,CA0037842 San Jose Order R2-2025-0027_255333.json,7033,8994,16027,5248,
San Juan Bautista WWTP,NPDES R3-2009-0019 for San Juan Bautista WWTP.txt,NPDES R3-2009-0019 for San Juan Bautista WWTP_255337.json,4426,8255,12681,3584,
"San Leandro, City of",R2-2022-0006.txt,R2-2022-0006_879361.json,6149,9121,15270,4480,
San Leandro WPCP,EBDA - R2-2022-0023.txt,EBDA - R2-2022-0023_255368.json,4518,8823,13341,3328,
San Luis Obispo WWTP,Order R3-2024-0001.txt,Order R3-2024-0001_255380.json,9754,9142,18896,7552,
San Mateo WWTP,R2-2023-0017.txt,R2-2023-0017_255420.json,5511,8846,14357,3712,
San Simeon WWTP,Order R3-2022-0003_signed.txt,Order R3-2022-0003_signed_255462.json,6455,8445,14900,5504,
El Estero Water Resource Center NPDES,El Estero_Final_Permit_2019-0046 pkg eff 2-1-20.txt,El Estero_Final_Permit_2019-0046 pkg eff 2-1-20_222443.json,5803,8637,14440,4160,
Santa Rosa Laguna Subregional Water Reclamation Facility,20_0012_SantaRosa-LagunaWWTF_NPDES.txt,20_0012_SantaRosa-LagunaWWTF_NPDES_255703.json,6035,8966,15001,4544,
Sausalito Marin City STP,NPDES Order R2-2023-0022.txt,NPDES Order R2-2023-0022_255802.json,4609,8866,13475,3584,
Scotts Valley WWTP,Scotts Valley WWTP NPDES Permit R3-2013-0001.txt,Scotts Valley WWTP NPDES Permit R3-2013-0001_256011.json,3488,8095,11583,2560,
Seeley CWD WWTP,R7-2023-0003.txt,R7-2023-0003_256217.json,5740,8903,14643,4864,
Sewerage Agency of Southern Marin (SASM) WWTP,R2-2023-0021.txt,R2-2023-0021_255788.json,4967,8268,13235,3520,
Sewerage Commission Oroville Region WWTP,r5-2021-0044_npdes.txt,r5-2021-0044_npdes_246251.json,7396,8513,15909,5824,
Cottonwood WWTP,r5-2024-0026_npdes.txt,r5-2024-0026_npdes_215903.json,5710,8770,14480,4672,
Shasta Lake WWTF,r5-2020-0058_npdes.txt,r5-2020-0058_npdes_256627.json,3284,8313,11597,2368,
SVCW WWTP,SVCW Order R2-2023-0003 (1).txt,SVCW Order R2-2023-0003 (1)_255833.json,7691,9143,16834,5632,
Simi Valley WQCP,3021_R4-2019-0135_WDR_PKG.txt,3021_R4-2019-0135_WDR_PKG_261253.json,4557,8524,13081,3392,
Sonoma Valley County SD WWTP,Final Order Sonoma_NPDES permit_Dec 2024.txt,Final Order Sonoma_NPDES permit_Dec 2024_257754.json,5204,8464,13668,4416,
SCWA Russian River CSD,21_0002_Russian River CSD and Sonoma Water WWTF NPDES.txt,21_0002_Russian River CSD and Sonoma Water WWTF NPDES_256061.json,7183,9525,16708,5824,
SCRWA WWTP,SCRWA 2017 adopted.txt,SCRWA 2017 adopted_256039.json,6346,9183,15529,4800,
South San Francisco-San Bruno WQCP,SSFSB_Order_Finalsigned.txt,SSFSB_Order_Finalsigned_254881.json,6933,9080,16013,5184,
South San Luis Obispo SD WWTP,So_SLO_Order R3-2019-0002_final.txt,So_SLO_Order R3-2019-0002_final_257887.json,2685,8435,11120,2368,
Big Creek Powerhouse No 1 WWTF,2014-0153-DWQ-R5187.txt,2014-0153-DWQ-R5187_209509.json,1120,8126,9246,1024,
St. Helena City WWTP,st. helena_order r2-2021-0004.txt,st. helena_order r2-2021-0004_258386.json,6361,9097,15458,4928,
Stallion Springs WWTF,r5-2023-0025-012.txt,r5-2023-0025-012_273191.json,4195,8289,12484,3392,
Wastewater Recovery Center,r5-2025-0027_npdes.txt,r5-2025-0027_npdes_258739.json,7600,9657,17257,5376,
Summerland SD WWTP,R3-2022-0014-(ACC).txt,R3-2022-0014-(ACC)_259377.json,5134,8416,13550,3904,
Sunnyvale WPCP,CA0037621 Sunnyvale Order R2-2020-0002.txt,CA0037621 Sunnyvale Order R2-2020-0002_259507.json,5861,8857,14718,4480,
Susanville Sanitary District WWTP,R6T-2008-0022 WDR Susanville CSD.txt,R6T-2008-0022 WDR Susanville CSD_259689.json,3419,8368,11787,2688,
Susanville Sanitary District WWTP,r6t_2008_0022_attach_f_i.txt,r6t_2008_0022_attach_f_i_259689.json,5325,8832,14157,3904,
Taft WWTF,5-00-080.txt,5-00-080_214665.json,2534,8097,10631,1856,
Mineral WWTP,r5-2023-0040_npdes.txt,r5-2023-0040_npdes_240864.json,5132,8825,13957,4352,
Temescal Valley WD WWRF,12-0028_Lee_Lake_Water_Dist_WDR.txt,12-0028_Lee_Lake_Water_Dist_WDR_259216.json,5404,8279,13683,4096,
Hill Canyon WWTP,4917_R4-2019-0137_WDR.txt,4917_R4-2019-0137_WDR_231693.json,753,8120,8873,640,
Discovery Bay WWTP,R5-2024-0068_npdes.txt,R5-2024-0068_npdes_220315.json,4587,8741,13328,3264,
Tracy WWTP,r5-2022-0073_npdes.txt,r5-2022-0073_npdes_266223.json,7005,9391,16396,5056,
Treasure Island WWTP/DOD,R2-2020-0020.txt,R2-2020-0020_266328.json,5003,8416,13419,3712,
Tulelake City WWTP,15_0002_Tulelake_WDR_revised_030415.txt,15_0002_Tulelake_WDR_revised_030415_266694.json,4098,8302,12400,3328,
"Turlock City, Turlock Regional Water Quality Control Facility",r5-2021-0005_npdes.txt,r5-2021-0005_npdes_266737.json,1628,8141,9769,1472,
UC Davis Main WWTP,r5-2021-0007_npdes.txt,r5-2021-0007_npdes_268926.json,4486,8226,12712,3712,
Beale AFB WWTP,r5-2019-0086_wdrs.txt,r5-2019-0086_wdrs_209007.json,2644,8291,10935,2048,
US Navy Naval Air Facility WWTP,R7-2021-0045.txt,R7-2021-0045_269449.json,4011,8419,12430,3136,
El Portal WWTF,r5-2025-0031_npdes.txt,r5-2025-0031_npdes_222491.json,5875,8628,14503,3904,
Wawona WWTF,12_21_2021_ 9787284_ REVISED NOA_ 12_21_2021.txt,12_21_2021_ 9787284_ REVISED NOA_ 12_21_2021_271887.json,1747,8105,9852,1472,
Wawona WWTF,2014-0153-DWQ-R5289.txt,2014-0153-DWQ-R5289_271887.json,4952,8356,13308,3712,
USS-UPI LLC - NPDES/SUB15,R2-2016-0043.txt,R2-2016-0043_269601.json,5108,8390,13498,4352,
Ukiah City WWTP,24_0016_Ukiah_NPDES_07.18.2024_signed.txt,24_0016_Ukiah_NPDES_07.18.2024_signed_268960.json,7021,8741,15762,4864,
Raymond A. Boege Alvarado WWTP (Union SD),EBDA - R2-2022-0023.txt,EBDA - R2-2022-0023_269042.json,1671,8855,10526,1152,
Thunder Valley Casino WWTP,thundervalley_wwtp_mgo_noa.txt,thundervalley_wwtp_mgo_noa_206730.json,4565,8303,12868,3840,
South Bay International WWTP,r9-2021-0001-amended-r9-2023-0009-amended-r9-2026-0005.txt,r9-2021-0001-amended-r9-2023-0009-amended-r9-2026-0005_257821.json,4388,8473,12861,3328,
South Bay International WWTP,r9-2021-0001.txt,r9-2021-0001_257821.json,1895,8477,10372,1728,
Easterly WWTP,r5-2025-0028_npdes.txt,r5-2025-0028_npdes_222057.json,4387,8478,12865,3328,
Vallejo Flood & Wastewater District (VFWD) WWTP,Order R2-2023-0001.txt,Order R2-2023-0001_270006.json,2853,8353,11206,2048,
Valley SD WWTP,R7-2026-0003.txt,R7-2026-0003_270096.json,7798,9065,16863,5440,
Victor Valley Wastewater Reclamation Authority WTP,r6v_2020_0028_vvwra_npdes_permit.txt,r6v_2020_0028_vvwra_npdes_permit_270419.json,7667,9147,16814,5632,
Visalia Water Reclamation Facility (WRF),r5-2018-0046.txt,r5-2018-0046_273138.json,5475,8377,13852,4544,
Watsonville WWTP,Watsonville WWTP 14-0006 FINAL.txt,Watsonville WWTP 14-0006 FINAL_271872.json,4859,8489,13348,3584,
Edward C. Little Water Recycling Plant (Recycled Water Irrigation),Adopted ECLWRF NPDES CI-7449 111623.txt,Adopted ECLWRF NPDES CI-7449 111623_273663.json,4330,8857,13187,3520,
Juanita Millender-McDonald Carson Regional Water Recycling Plant,Adopted JMMCRWRP CI-7972 03012024.txt,Adopted JMMCRWRP CI-7972 03012024_217061.json,4608,8883,13491,3776,
West County Agency Outfall,R2-2024-0008 West County.txt,R2-2024-0008 West County_215234.json,6868,9875,16743,4864,
West County WW District WPCP,R2-2024-0008 West County.txt,R2-2024-0008 West County_272082.json,8135,9883,18018,6208,
WRCRWA Regional WWRF,R8-2015-0013_WRCRWWA.txt,R8-2015-0013_WRCRWWA_259205.json,949,8300,9249,832,
Westmorland City WWTP,R7-2023-0002.txt,R7-2023-0002_272291.json,4746,8701,13447,3712,
Willits City WWTP,21_0021_Willits_WWTF_NPDES.txt,21_0021_Willits_WWTF_NPDES_272646.json,8657,9949,18606,6656,
Willows WWTP,R5-2017-0085-01.txt,R5-2017-0085-01_272704.json,2666,8105,10771,2304,
Willows WWTP,willows_wwtp_noa_signed.txt,willows_wwtp_noa_signed_272704.json,3438,8159,11597,2688,
"Windsor Wastewater Treatment, Reclamation, and Disposal Facility",20_0010_Windsor Water District_NPDES.txt,20_0010_Windsor Water District_NPDES_272790.json,5715,8655,14370,4416,
Woodland Water Pollution Control Facility,r5-2026-0004_npdes.txt,r5-2026-0004_npdes_272960.json,4870,10406,15276,3648,
Yountville / CA Vets Home WWTP,Town of Yountville Order R2-2020-0026.txt,Town of Yountville Order R2-2020-0026_274410.json,6307,8897,15204,4608,
Yuba City WWTF,r5-2024-0055_npdes.txt,r5-2024-0055_npdes_274556.json,3834,8571,12405,3008,
Henry N. Wochholz WWRF,R8-2015-0027_YVWD_Henry_N_Wochholz_RWRF.txt,R8-2015-0027_YVWD_Henry_N_Wochholz_RWRF_259161.json,6652,8538,15190,4992,
Mustards Grill WWTP,Mustards Grill Notice of Applicability Package_2024-07-10.txt,Mustards Grill Notice of Applicability Package_2024-07-10_614538.json,6903,10180,17083,5440,
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,AmendedOrderR92019167_DigitalSignature signed dwg 12-14-21.txt,AmendedOrderR92019167_DigitalSignature signed dwg 12-14-21_638334.json,4635,8417,13052,3264,
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,AmendingOrderR920210205_DigitalSignature signed dwg 12-17-21.txt,AmendingOrderR920210205_DigitalSignature signed dwg 12-17-21_638334.json,5255,8557,13812,3840,
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,MCBCP_Final_Adopted_Order_R9-2019-0167.txt,MCBCP_Final_Adopted_Order_R9-2019-0167_638334.json,4487,8417,12904,3200,
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,R9-2019-0167_Amended2020 signed dwg 08-17-20.txt,R9-2019-0167_Amended2020 signed dwg 08-17-20_638334.json,4487,8417,12904,3200,
USMC Camp Pendleton Southern Regional Tertiary Treatment Plant,R9-2020-0191_Final_Order signed dwg 08-17-20.txt,R9-2020-0191_Final_Order signed dwg 08-17-20_638334.json,4635,8417,13052,3264,
Adelanto WWTP,R6V-2013-0058 Adelanto WWTF FINAL.txt,R6V-2013-0058 Adelanto WWTF FINAL_204475.json,6585,8628,15213,5312,
Plymouth WWTP,r5-2011-0092.txt,r5-2011-0092_248753.json,3033,8180,11213,2624,
Pine Grove Community Leachfield System,R5-2009-0003.txt,R5-2009-0003_248424.json,2787,8179,10966,2368,
Atascadero WWTP,R3-2020-0020 NOA MRP City of Atascadero_final.txt,R3-2020-0020 NOA MRP City of Atascadero_final_206653.json,4216,8423,12639,3584,
Encinal Canyon Water Recycling Plant on Tract 46277,7020_R4-2013-0019_WDR_PKG.txt,7020_R4-2013-0019_WDR_PKG_268043.json,3823,8162,11985,3264,
Black Oak General Store,noa_100610_sjp.txt,noa_100610_sjp_209726.json,1188,8192,9380,1088,
Bakersfield WWTP #2,r5-2009-0122.txt,r5-2009-0122_273208.json,4948,8540,13488,3840,
Barstow WWTP,R6V-2019-0252_WDR_Barstow.txt,R6V-2019-0252_WDR_Barstow_208769.json,5825,9067,14892,4416,
BB Reg WWA-Lucerne Vly,R7-2021-0023.txt,R7-2021-0023_208930.json,4777,8288,13065,3968,
Bill/Kathy's WWTF,bill_kathy_NOA.txt,bill_kathy_NOA_209595.json,3127,8713,11840,2816,
Blue Lake City POTW,12_0050_WDR_BlueLake_RRO_120618.txt,12_0050_WDR_BlueLake_RRO_120618_209801.json,3593,8969,12562,2816,
Blythe Regional WW Reclamation Facilities,R7-2016-0013.txt,R7-2016-0013_209847.json,7237,8859,16096,5440,
Bodega Bay Wastewater Reclamation Facility,R1-2023-0011.txt,R1-2023-0011_209949.json,4332,8583,12915,3264,
Buellton WWTP,Buellton NOA MRP R3-2020-0020.txt,Buellton NOA MRP R3-2020-0020_210685.json,4214,8623,12837,3328,
Burney STP,Combined Burney WDR_Pamela Signatue.txt,Combined Burney WDR_Pamela Signatue_210854.json,5842,9142,14984,4736,
Byron Sanitary District WWTF,R5-2009-0002.txt,R5-2009-0002_210972.json,2352,8305,10657,1984,
Mount Bullion Conservation Camp,2014-0153-DWQ-R5284.txt,2014-0153-DWQ-R5284_241545.json,3945,9531,13476,3008,
CDOT Collier Tunnel Rest Area,180618_RRO_er_CaltransCollierTunnel_NOA.txt,180618_RRO_er_CaltransCollierTunnel_NOA_833707.json,5525,8275,13800,4608,
Gold Run Roadside Rests,Gold Run Rest Area-NOA.txt,Gold Run Rest Area-NOA_227451.json,6171,8606,14777,5312,
Shandon Roadside Rest Area,07-02-2019_Shandon Rest Area NOA & NOT package 7-2-19.txt,07-02-2019_Shandon Rest Area NOA & NOT package 7-2-19_729031.json,4735,8606,13341,4032,
Philip S Raine SRRA,NOA_CalTransPSRaineSRRA_NOA_2014-0153-DWQ-R5377.txt,NOA_CalTransPSRaineSRRA_NOA_2014-0153-DWQ-R5377_248269.json,2799,8549,11348,2496,
Buttonwillow Safety Roadside Rest Area,Buttonwillow NOA.txt,Buttonwillow NOA_836454.json,2552,8377,10929,2432,
Warlow SRRA WWTF,CT-WarlowRA_NOA.txt,CT-WarlowRA_NOA_719040.json,1119,8303,9422,1024,
Lebec SRRA (Tejon Pass),NOA Tejon Pass Safety Roadside Rest Area Wastewater Treatment Facility.txt,NOA Tejon Pass Safety Roadside Rest Area Wastewater Treatment Facility_236772.json,3047,8570,11617,2688,
"John ""Chuck"" Erreca SRRA",Caltrans_Erreca_NOA.txt,Caltrans_Erreca_NOA_837951.json,1832,8076,9908,1600,
Valley Wells Rest Area,R6V-2021-0022_WDR Order_Caltrans Valley Wells.txt,R6V-2021-0022_WDR Order_Caltrans Valley Wells_851487.json,3952,9127,13079,3392,
"CCC @ Susanville, CSP-LC WTF",R6T-2008-0024 CDC WDR.txt,R6T-2008-0024 CDC WDR_213580.json,3142,8213,11355,2880,
Tehachapi Correctional Inst WWTF,r5-2011-0007.txt,r5-2011-0007_263072.json,4525,8675,13200,3520,
Kern Valley State Prison WWTF,R5-2007-0090.txt,R5-2007-0090_234915.json,3290,8836,12126,2432,
Pleasant Valley State Prison WWTF,r5-2016-0092.txt,r5-2016-0092_248717.json,4752,8552,13304,3584,
Corcoran State Prison WWTF,r5-2016-0027.txt,r5-2016-0027_215698.json,1668,8097,9765,1472,
Coalinga State Hospital WWTF,R5-2013-0055.txt,R5-2013-0055_214957.json,4079,8416,12495,3392,
Pfeiffer Big Sur State Park WWTP,Pfeiffer Big Sur NOA_final_10_02_2025.txt,Pfeiffer Big Sur NOA_final_10_02_2025_248169.json,2958,8160,11118,2304,
Millerton Lake State Rec Area,NOA_MLSRA_WWTF.txt,NOA_MLSRA_WWTF_240826.json,3068,8331,11399,2752,
CDF Parlin Fork Conservation Camp,170313_RSP_dp_ParlinFork_WWTF_NOA.txt,170313_RSP_dp_ParlinFork_WWTF_NOA_213604.json,4440,8618,13058,3968,
Arnold WWTP,NOA 2014-0153-DWQ-R5190.txt,NOA 2014-0153-DWQ-R5190_206381.json,5804,8802,14606,4160,
Wilseyville WWTP,WilseyvilleWWTP_NOA.txt,WilseyvilleWWTP_NOA_272716.json,5401,8576,13977,4608,
West Point WWTF,2014-0153-dwq-r5336_noa.txt,2014-0153-dwq-r5336_noa_272109.json,4434,8569,13003,3776,
Wallace Lake Estates WWTF,2014-0153-dwq-r5275_NOA.txt,2014-0153-dwq-r5275_NOA_271617.json,5898,8560,14458,5056,
Southworth Ranch Estates WWTF,NOA_Southworth Ranch Estates WWTF.txt,NOA_Southworth Ranch Estates WWTF_258004.json,4250,8213,12463,3584,
La Contenta WWT & RF,CCWD_La Contenta_R5-2013-0133_WDR.txt,CCWD_La Contenta_R5-2013-0133_WDR_235798.json,6677,8849,15526,5312,
La Contenta WWT & RF,R5-2018-0062-La Contenta WWTF.txt,R5-2018-0062-La Contenta WWTF_235798.json,6474,8859,15333,5376,
Indian Rock Vineyards Subdivision (IRVS) WWTF,Indian Rock NOA.txt,Indian Rock NOA_232360.json,4207,8972,13179,3584,
Copper Cove WWRF,R5-2010-0070.txt,R5-2010-0070_215671.json,2563,8173,10736,2240,
Copper Cove WWRF,ccwd_copper cove_amended wdr.txt,ccwd_copper cove_amended wdr_215671.json,3022,8173,11195,2624,
Spreckels WWTP,Spreckels_R3-2020-0020_NOA_MRP_final.txt,Spreckels_R3-2020-0020_NOA_MRP_final_258186.json,4109,8364,12473,3776,
Oak Hills Development WWTP,5-2-23-Oak Hills NOA_MRP.txt,5-2-23-Oak Hills NOA_MRP_245564.json,3827,8471,12298,3328,
