source,CWNS FACILITY_ID,CWNS FACILITY_NAME,CIWQS PLACE_ID,CIWQS Facility Name,County,A2O,AO,Activated Carbon,Aerated Lagoon,Aerobic Digestion,Alum Addition,AnO,Anaerobic Digestion,Anaerobic Filter,Anaerobic Lagoon,Biologically Active Filtration,Biosolids Lagoon,Biosolids Wet Air Oxidation,Centrifuge,Chemical N Removal,Chemical P Removal,Chemical Precipitation,Chlorination,Coagulation,Cogeneration,Comminution,Dechlorination,Denitrification,Denitrification Filter,Drying,Electrodialysis,Electrodialysis Reversal,Elutriation,Equalization,Evaporation Pond,Extended Aeration,FBI,Facultative Lagoon,Ferric Chloride Addition,Five Stage Bardenpho,Flocculation,Flotation,Four Stage Bardenpho,Grit Removal,Heat Recovery,Ion Exchange,Lime Stabilization,Lime Treatment,MHI,MLE,Mechanical Dewatering,Media Filtration,Membrane Aerated Biofilm Reactor,Membrane Bioreactor,Microfiltration,Moving Bed Biofilm Reactor,Nanofiltration,Neutralization,Nitrification,Oxidation,Oxidation Ditch,Ozonation,Polishing Lagoon,Polymer Addition,Primary Clarification,Pure Oxygen,Reduction,Reverse Osmosis,Rotating Biological Contactor,SBR,Screening/Microstrainer,Secondary Clarification,Secondary Filtration,Septic Tank,Stabilization Pond,Stepfeed,Thermal Disinfection,Thermal Hydrolysis,Thickening,Trickling Filter,UCT,UV Disinfection,UV-AOP,Ultrafiltration,Unspecified AS,Unspecified Chemical Addition,Unspecified Clarification,Unspecified Dewatering,Unspecified Digestion,Unspecified Disinfection,Unspecified FFR,Unspecified Filtration,Unspecified Headworks,Unspecified Incineration,Unspecified Lagoon,Unspecified Membrane Process,Unspecified Nutrient Removal,Wetland
ciwqs,,,739154,Tejon Mountain Village,Kern,,,,,,,,,,,,,,,,,,FUTURE,,,,,FUTURE,,,,,,FUTURE,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,FUTURE,,,,,,,,,,,FUTURE,FUTURE,,,,,,,,,,,FUTURE,,,FUTURE,,,,,,,,,,FUTURE,,FUTURE,
ciwqs,,,215698,Corcoran State Prison WWTF,Kings,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,
Clean Watershed Needs Survey,1175732,Corcoran WWTF,273108,Corcoran WWTF,Kings,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,
ciwqs,1175732,Corcoran WWTF,273108,Corcoran WWTF,Kings,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,
Clean Watershed Needs Survey,1175761,LEMOORE STP,273120,Lemoore WWTF,Kings,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,1175761,LEMOORE STP,273120,Lemoore WWTF,Kings,,,,PRESENT,,,,,,PRESENT,,OFFSITE,,,,,,PRESENT,,,,,OFFSITE,,,,,,OFFSITE,OFFSITE,,,PRESENT,,,,OFFSITE,,,,,,,,,OFFSITE,,,,,,,,OFFSITE,,,,,,,,,,,OFFSITE,,PRESENT,,,,,,,OFFSITE,,,,,,OFFSITE,PRESENT,,,,,,OFFSITE,,,OFFSITE,,OFFSITE,
ciwqs,,,273135,Stratford WWTF,Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,
ciwqs,,,239190,Hoberg's Resort,Lake,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,
ciwqs,,,235208,Konocti Harbor Resort,Lake,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,
ciwqs,,,736188,Lake Cnty SD Kelseyville WWD No. 3 Kelseyville WWTF,Lake,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,PRESENT,,,
Clean Watershed Needs Survey,1175665,LAKEPORT SOUTH WWTF,241869,Lakeport City WWTP,Lake,,,,,,,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,PRESENT,,,
ciwqs,1175665,LAKEPORT SOUTH WWTF,241869,Lakeport City WWTP,Lake,,PRESENT,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,
ciwqs,,,213580,"CCC @ Susanville, CSP-LC WTF",Lassen,,,,FUTURE,,,,FUTURE,,FUTURE,,,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,FUTURE,,,,,,,,,,,,,,FUTURE,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,FUTURE
ciwqs,,,230784,Herlong Public Utility District WWTF,Lassen,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,PRESENT,
ciwqs,,,638757,Spalding Tract Sewer System,Lassen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE
ciwqs,,,272344,Westwood STP,Lassen,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Watershed Needs Survey,1175477,LACSD (Joint Water Pollution Control Plant),234156,A.K. Warren Water Resource Facility,Los Angeles,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,PRESENT,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,PRESENT,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,PRESENT,PRESENT_AND_FUTURE,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,
ciwqs,1175477,LACSD (Joint Water Pollution Control Plant),234156,A.K. Warren Water Resource Facility,Los Angeles,,OFFSITE,,,,,,OFFSITE,,,,,,OFFSITE,,,,OFFSITE,,OFFSITE,,,,,OFFSITE,,,,,,,,,,,,OFFSITE,,OFFSITE,OFFSITE,,OFFSITE,,,,OFFSITE,,,,,,,OFFSITE,,,,,,OFFSITE,OFFSITE,OFFSITE,,,,,OFFSITE,OFFSITE,,,,,,,OFFSITE,,,,,,OFFSITE,,,,,,,,,,,,,
Clean Watershed Needs Survey,1175503,AVALON WWRF,208276,Avalon WWTF,Los Angeles,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,
ciwqs,1175503,AVALON WWRF,208276,Avalon WWTF,Los Angeles,,,,,PRESENT,,,,,,,,,PRESENT,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,,,PRESENT,PRESENT,,,,,PRESENT,,PRESENT,,,,,,,,,,,
Clean Watershed Needs Survey,1175516,Burbank WRP,212135,Burbank WRP,Los Angeles,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,PRESENT,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,
ciwqs,1175516,Burbank WRP,212135,Burbank WRP,Los Angeles,,,,,,PRESENT,,,,,,,,,,,,PRESENT,PRESENT,,PRESENT,PRESENT,PRESENT,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,
Clean Watershed Needs Survey,1175494,Tillman WRP,267571,Donald C. Tillman WWRP,Los Angeles,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,PRESENT,,,,,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,
ciwqs,1175494,Tillman WRP,267571,Donald C. Tillman WWRP,Los Angeles,,,FUTURE,,,PRESENT,,,,,PAST,,,,,,,PRESENT,PRESENT,,,PRESENT,PRESENT,PAST,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,,,,,,PRESENT_AND_FUTURE,,PRESENT,,,FUTURE,,,,PRESENT,FUTURE,,FUTURE,,PRESENT,PRESENT,,,FUTURE,,,PRESENT,PRESENT,,,,PRESENT_AND_FUTURE,,,,,,,FUTURE,,PAST,PRESENT,,,,,,,,,,,PRESENT,
ciwqs,,,273663,Edward C. Little Water Recycling Plant (Recycled Water Irrigation),Los Angeles,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,PRESENT,PRESENT,,,PRESENT,,,PRESENT,,PRESENT,,PRESENT,,,,,,PRESENT,,,PRESENT,,,,,,,,,,,FUTURE,PRESENT,,,PRESENT,PRESENT,,,PRESENT,,,,,,,,
ciwqs,,,268043,Encinal Canyon Water Recycling Plant on Tract 46277,Los Angeles,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,FUTURE,
ciwqs,,,888692,Hyperion Advanced Water Purification Facility,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,FUTURE,,,,FUTURE,FUTURE,,,,,,,,,FUTURE,,,FUTURE,,,,,,,,,,,FUTURE,FUTURE,,,,,,,,,FUTURE,,,,,FUTURE,
Clean Watershed Needs Survey,1175491,Hyperion WRP,232063,Hyperion WWTP,Los Angeles,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT,PRESENT,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,,PRESENT_AND_FUTURE,,,,
ciwqs,1175491,Hyperion WRP,232063,Hyperion WWTP,Los Angeles,,,,,,,,PRESENT,,,,,,PRESENT,,,,,PRESENT,FUTURE,,,,,,,,,,,,,,PRESENT,,PRESENT,,,PRESENT,FUTURE,,,,,,PRESENT,PRESENT,,FUTURE,,,,,,FUTURE,,,,PRESENT,PRESENT,PRESENT,,FUTURE,,,PRESENT,PRESENT,,,,,,,PRESENT,,,FUTURE,FUTURE,,PRESENT,PRESENT,,,,PRESENT,,PRESENT,,,,,,
ciwqs,,,217061,Juanita Millender-McDonald Carson Regional Water Recycling Plant,Los Angeles,,,,,,PRESENT,,,,,PRESENT,,,,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,PRESENT,,FUTURE,PRESENT,,,PRESENT,PRESENT_AND_FUTURE,,,,,PRESENT,PRESENT,,,PRESENT_AND_FUTURE,,,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,PRESENT,,,,,,,,PRESENT_AND_FUTURE,
Clean Watershed Needs Survey,1175485,LACSD (Lancaster WRP),236378,Lancaster Water Reclamation Plant,Los Angeles,,,,,,PRESENT,,PRESENT_AND_FUTURE,,,PRESENT,,,,,,,PRESENT,PRESENT,PRESENT,PRESENT,,,,PRESENT,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT,,,,PRESENT,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,PRESENT,,,
ciwqs,1175485,LACSD (Lancaster WRP),236378,Lancaster Water Reclamation Plant,Los Angeles,,,,PRESENT,,,,PRESENT,,,,,,,,PRESENT,,PRESENT,PRESENT,,PRESENT,PRESENT,PRESENT_AND_FUTURE,,PRESENT,,,,,,,,,,,PRESENT,PRESENT,,PRESENT,,,,,,,,PRESENT,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,,PRESENT_AND_FUTURE,,,PRESENT,PRESENT,PRESENT,,PRESENT,PRESENT,,PRESENT,,,PRESENT,,PRESENT_AND_FUTURE,
Clean Watershed Needs Survey,1175482,LACSD (Long Beach WRP),238562,Long Beach WRP,Los Angeles,,,,,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,PRESENT,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT_AND_FUTURE,,,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,
ciwqs,1175482,LACSD (Long Beach WRP),238562,Long Beach WRP,Los Angeles,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,
Clean Watershed Needs Survey,1175493,L.A.-Glendale WRP,235738,Los Angeles-Glendale WWRP,Los Angeles,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,PRESENT,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,
ciwqs,1175493,L.A.-Glendale WRP,235738,Los Angeles-Glendale WWRP,Los Angeles,,,FUTURE,,,PRESENT,,,,,FUTURE,,,,,,,PRESENT,PRESENT,,,PRESENT,PRESENT_AND_FUTURE,FUTURE,,,,,FUTURE,,,,,,,,,,PRESENT,,,,,,FUTURE,,PRESENT,,,FUTURE,,,,PRESENT_AND_FUTURE,FUTURE,,FUTURE,,PRESENT,PRESENT,,,FUTURE,,,PRESENT,PRESENT,,,,,,,,FUTURE,,FUTURE,FUTURE,,PRESENT,PRESENT,,,,,FUTURE,FUTURE,,,,,PRESENT,
Clean Watershed Needs Survey,1175481,LACSD (Los Coyotes WRP),238646,Los Coyotes WRP,Los Angeles,,,,,,,,,,,PRESENT,,,,,,PRESENT,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,,,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,
ciwqs,1175481,LACSD (Los Coyotes WRP),238646,Los Coyotes WRP,Los Angeles,,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,FUTURE,,,,,,,,,,,PRESENT,
ciwqs,,,766648,Malibu Civic Center WWTF,Los Angeles,,,,,,,,,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,,,,,,,FUTURE,,,
Clean Watershed Needs Survey,1175469,MALIBU WWTF,242162,Malibu Mesa WRP,Los Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,
ciwqs,1175469,MALIBU WWTF,242162,Malibu Mesa WRP,Los Angeles,,,,,PRESENT,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,FUTURE,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,,PRESENT,,,PRESENT,PRESENT,,,,,,,,,,,,
ciwqs,,,658148,Newhall Ranch WRP,Los Angeles,,,,,,PRESENT,,,,,,,,,,,,FUTURE,PRESENT,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,PRESENT,,PRESENT,,,PRESENT_AND_FUTURE,,,,,,,PRESENT,PRESENT,,PRESENT_AND_FUTURE,,,,,PRESENT_AND_FUTURE,PRESENT,,,,PRESENT,PRESENT,,,FUTURE,,,PRESENT_AND_FUTURE,PRESENT,,,,PRESENT,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,,PRESENT,,,,PRESENT,,,,,,,,PRESENT_AND_FUTURE,
Clean Watershed Needs Survey,1175486,LACSD (Palmdale WRP),247448,Palmdale Water Reclamation Plant,Los Angeles,,,,,,,,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,,,,,,,PRESENT_AND_FUTURE,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT,,,,PRESENT_AND_FUTURE,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,
ciwqs,1175486,LACSD (Palmdale WRP),247448,Palmdale Water Reclamation Plant,Los Angeles,,,,PRESENT,,,,PRESENT,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,FUTURE,,,,,,,,,FUTURE,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,FUTURE,,,,,,,,FUTURE,,,,,FUTURE,,,,,,
ciwqs,,,249771,Paradise Ranch WWTP,Los Angeles,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,
Clean Watershed Needs Survey,1175478,LACSD (Pomona WRP),250700,Pomona Water Reclamation Plant,Los Angeles,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,PRESENT_AND_FUTURE,PRESENT,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,
ciwqs,1175478,LACSD (Pomona WRP),250700,Pomona Water Reclamation Plant,Los Angeles,,,,,,PRESENT,,,,,,,,,,,,PRESENT,PRESENT,,PRESENT,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,PRESENT,
ciwqs,,,260064,San Clemente Island WWTP,Los Angeles,,,,,,,,,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,FUTURE,,PRESENT,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,
Clean Watershed Needs Survey,1175479,LACSD (San Jose Creek WRP),260156,San Jose Creek Water Reclamation Plant,Los Angeles,,,,,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,PRESENT,,,,PRESENT,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,PRESENT,,,,,,
ciwqs,1175479,LACSD (San Jose Creek WRP),260156,San Jose Creek Water Reclamation Plant,Los Angeles,,,,,,PRESENT,,,,,,,,,,,,PRESENT,PRESENT,,,PRESENT,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,PRESENT,PRESENT,,,,,,,PRESENT,,,,,,,,,,FUTURE,FUTURE,,,PRESENT,,,,,,,,,,,PRESENT,
Clean Watershed Needs Survey,1175483,LACSD (Saugus WRP),260494,Saugus Water Reclamation Plant,Los Angeles,,,,,,,,PRESENT,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,,,PRESENT,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,
ciwqs,1175483,LACSD (Saugus WRP),260494,Saugus Water Reclamation Plant,Los Angeles,,,,,,,,OFFSITE,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,,OFFSITE,,PRESENT,,,,,,,OFFSITE,PRESENT,,,FUTURE,,,,PRESENT,,,,,,PRESENT,,,FUTURE,,,PRESENT,PRESENT,,,,,,,OFFSITE,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,PRESENT,
Clean Watershed Needs Survey,1175492,Terminal Island WRP,267130,Terminal Island Water Reclamation Plant,Los Angeles,,,,,,,,PRESENT,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT_AND_FUTURE,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,,,
ciwqs,1175492,Terminal Island WRP,267130,Terminal Island Water Reclamation Plant,Los Angeles,,,,,,PRESENT,,PRESENT,,,,,,,,,,PRESENT,PRESENT,,,PRESENT,,,,,,,PRESENT,,,,,PRESENT,,PRESENT,,,PRESENT,,,,,,,PRESENT,PRESENT,,,PRESENT,,,PRESENT,,FUTURE,,,,PRESENT,PRESENT,,,PRESENT,,,PRESENT,PRESENT,,,,,,,PRESENT,,,PRESENT,PRESENT_AND_FUTURE,,PRESENT,PRESENT,,,PRESENT,FUTURE,,,,,,,,
ciwqs,,,268548,Trancas WPCP,Los Angeles,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,PRESENT,FUTURE,PRESENT,,,,,,,,PRESENT,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,PAST,,PRESENT,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,PRESENT,
ciwqs,,,268842,"Two Harbors STP, Catalina Island",Los Angeles,,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,PRESENT,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,
Clean Watershed Needs Survey,1175484,LACSD (Valencia WRP),270849,Valencia WRP,Los Angeles,,,,,,,,PRESENT,,,PRESENT,,,,,,PRESENT,PRESENT,,,PRESENT,PRESENT,PRESENT,,PRESENT,,,,,,,,,,,,PRESENT,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,PRESENT,PRESENT,,,,,PRESENT,,,,,,,,,,,,,
ciwqs,1175484,LACSD (Valencia WRP),270849,Valencia WRP,Los Angeles,,,,,PRESENT,,,PRESENT,,,,,,,,,,PRESENT,,,PRESENT,PRESENT,PRESENT,,,,,,PRESENT,,,,,,,,PRESENT,,,,,,,,,PRESENT,PRESENT,,,FUTURE,,,,PRESENT,,,,,,PRESENT,,,FUTURE,,PRESENT,PRESENT,PRESENT,,,,,,,PRESENT,,,FUTURE,,,,,,,,,,PRESENT,,,,,PRESENT,
ciwqs,,,805193,Vista Canyon Water Factory,Los Angeles,,,,,,,,,,,,,,,,,,PRESENT,PRESENT,,,,PRESENT,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,PRESENT,,,,,,PRESENT,,,,,,PRESENT,PRESENT,,,,,,,,,,PRESENT,,,,PRESENT,,,,,,PRESENT,,,,,PRESENT,
Clean Watershed Needs Survey,1175480,LACSD (Whittier Narrows WRP),235826,Whittier Narrows Water Reclamation Plant,Los Angeles,,,,,,,,,,,PRESENT,,,,,,PRESENT_AND_FUTURE,PRESENT,,,PRESENT,PRESENT_AND_FUTURE,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,PRESENT,PRESENT,,,,,,,,PRESENT,,,,,PRESENT,,,,,,,,,,,,,
ciwqs,1175480,LACSD (Whittier Narrows WRP),235826,Whittier Narrows Water Reclamation Plant,Los Angeles,,,,,,,,,,,,,,,,,,PRESENT,,,,PRESENT,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,PRESENT,,,,,,PRESENT,,,,,,,PRESENT,,,,,,,,,,PRESENT_AND_FUTURE,,,,,,,,,,,,,,,PRESENT,
ciwqs,,,212973,Camp Sugar Pine,Madera,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,,
