AGENCY_NAME,FACILITY_NAME,PERMIT_NUMBER,Primary Clarifier,Screening,Microstrainer,Flow Equalization,Grit Removal,Alum Addition,Ferric Chloride Addition,Other Chemical Addition,Flotation,Neutralization,A2O,SBR,Oxidation Ditch,Pure Oxygen Activated Sludge,Unspecified CAS,Biofilter Trickling Filter,Rotating Biological Contractor,Anaerobic Filter,Facultative Lagoon,Aerated Lagoon,Anaerobic Lagoon,Polishing Lagoon,Extended Aeration,Stepfeed,Membrane Bioreactor,Membrane Aerated Biofilm Rioreactor,Alum Addition,Ferric Chloride Addition,Polymer Addition,Biological N Removal,Biological P Removal,Chemical N Removal,Chemical P Removal,Constructed Wetland,Surface Wetland,Unspecified Nature-Based Solution,Alum Addition,Ferric Chloride Addition,Unspecidfied Tertiary Chemical Addition,Tertiary Filtration,Chlorination,Dechlorination,Ozonation,UV Disinfection,Thermal Disinfection,UV-AOP,Flocculation,Biologically Active Filter,Ion Exchange,Activated Carbon,Media Filtration,Nanofiltration,Electrodialysis Reversal,Electrodialysis,Reverse Osmosis,Ultrafiltration,Microfiltration,Sedimentation,Anaerobic Digestion,Aerobic Digestion,Chemical Addition,Drying,MHI,FBI,Unspecified Incineration,Mechanical Dewatering,Thickening,Biosolids Lagoon,Land Treatment,Lime Treatment,Stabilization Pond,Unspecified Energy Recovery,Biogas Production,Cogeneration
Mountain House City,Mountain House WWTP,5S,0,present_and_future,present_and_future,present,present_and_future,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mt Shasta City,Mount Shasta WWTP,5R,0,present,0,0,0,0,0,0,present,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,present_and_future,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mt View Sanitary District,Mt. View Sanitary District WWTP,2,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,present,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0
Napa Sanitation District,Napa Sanitation District WWTP (Soscol Water Recycling Facility),2,0,0,0,present,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0
Nevada City,Nevada City WWTP,5S,0,present,0,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newhall Ranch SD,Newhall Ranch WRP,4,0,present,0,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North San Mateo County Sanitation District,North San Mateo County Sanitation District WWTP,2,0,present,0,present,0,0,0,0,present,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivehurst PUD,Olivehurst WWTP,5S,0,present,0,present_and_future,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0
Orange CSD,OCSD Plant 2,8,0,present,0,future,0,0,0,0,0,0,0,0,0,0,present_and_future,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange CSD,OCSD Plant 1,8,0,present,0,future,0,0,0,0,0,0,0,0,0,0,present_and_future,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange County Water District,Groundwater Replenishment System - Advanced WTF,8,0,present,0,present,0,0,0,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,present,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oro Loma Sanitary District,Oro Loma/Castro Valley SD WPCP,2,0,present,0,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Padre Dam Municipal Water District,Ray Stoyer Water Recycling Facility,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palo Alto City,Palo Alto Regional WQCP,2,0,present,0,0,present,0,0,0,0,0,0,0,0,0,present,present_and_future,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,present_and_future,0,future,present,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0
Pinole City,City of Pinole WWTP,2,0,present,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Bluff City,Red Bluff WW Reclamation Plant,5R,0,present_and_future,0,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0
Redway CSD,Redway POTW,1,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0
Rio Dell City,Rio Dell City WWTF,1,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Vista City,Beach WWTF,5S,0,present,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0
Rio Vista City,Northwest WWTF,5S,0,present,present,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0
River Highlands CSD,Hammonton Gold Village WWTP,5S,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodeo Sanitary District,Rodeo Sanitary District WWTP,2,0,present,present,0,present,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,present_and_future,0,0,0,present,0,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,El Toro WD WRP,9,0,present,present,present,present,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,present,0,0,present,0,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,Irvine Desalter Project Shallow GW Unit,9,0,present,present,present,present,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,present,0,0,present,0,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,SOCWA - Coastal TP,9,0,present,present,present,present,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,present,0,0,present,0,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,SOCWA Aliso Creek Ocean Outfall,9,0,present,present,present,present,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,present,0,0,present,0,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,SOCWA - Regional TP,9,0,present,present,present,present,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,present,0,0,present,0,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCWA-Aliso Creek Ocean O/F,IRWD Los Alisos WRP,9,0,present,present,present,present,0,0,0,present,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,present,0,0,present,0,0,present,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,9,0,present,0,0,present,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,J.B. Latham Wastewater Treatment Plant,9,0,present,0,0,present,0,0,0,0,present,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA San Juan Creek Ocean Outfall,9,0,present,0,0,present,0,0,0,0,present,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD Oso Creek WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SMWD - Chiquita WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,City of San Clemente WRP,9,0,present,0,0,present,0,0,0,0,present,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
SOCWA-San Juan Creek Ocean O/F,SOCWA - 3A Treatment Plant,9,0,present,0,0,present,0,0,0,0,present,0,0,present,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,present,present,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0
Sacramento Area Sewer District (SacSewer),EchoWater Resource Recovery Facility,5S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento Area Sewer District (SacSewer),EchoWater Resource Recovery Facility,5S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento Area Sewer District (SacSewer),EchoWater Resource Recovery Facility,5S,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento City,Sac City Combined WW Collection/TRT Sys,5S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa Pacific Group LLC,Samoa Pacific WWTP (Samoa Town Site),1,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Andreas SD,San Andreas SD WWTP,5S,0,present,0,0,0,0,0,0,0,present,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,present,0,0,0,present_and_future,0,0,0,0,0,0,0,0
San Diego City Metropolitan Wastewater Dept (Public Utilities),South Bay WRP,9,0,present,0,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Jose City,San Jose/Santa Clara WPCP,2,0,future,0,present,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,present,0,0,0,present,0,present,present,present_and_future,0,0,present,0,0,0,0,present_and_future,0,0,0,0,0,0,0
San Juan Bautista City,San Juan Bautista WWTP,3,0,0,0,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Luis Obispo City,San Luis Obispo WWTP,3,0,present,0,present,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0
San Mateo City,San Mateo WWTP,2,0,present_and_future,present_and_future,present_and_future,present_and_future,0,0,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Simeon CSD,San Simeon WWTP,3,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clarita Valley SD of Los Angeles Cnty,Saugus Water Reclamation Plant,4,0,present,0,0,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clarita Valley SD of Los Angeles Cnty,Valencia WRP,4,0,present,0,present,0,0,0,0,present,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,present,0,0,0,present,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rosa City Dept of Public Works,Santa Rosa Laguna Subregional Water Reclamation Facility,1,0,0,0,0,present,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sausalito-Marin City San District,Sausalito Marin City STP,2,0,present,0,present,present,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seeley Cnty WD,Seeley CWD WWTP,7,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,present,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0
Sewerage Agency of Southern Marin,Sewerage Agency of Southern Marin (SASM) WWTP,2,0,present,0,present,present,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0
Sewerage Commission Oroville Region,Sewerage Commission Oroville Region WWTP,5R,0,present,0,0,present_and_future,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future,0,0,0,0,0,0,0,0,0,0,present_and_future,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shasta CSA #17,Cottonwood WWTP,5R,0,0,0,0,0,0,0,0,0,0,0,0,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present,present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,present_and_future,0,0,0,0,0,0,0,0,0,0,0,0
